"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"109","F1","2022-10-16","Monaco","Clermont",1,1,"D",1,0,"H",1.38,4.91,10.25,"1-0","1-1",6,4,21,7,2,4,1,0,3,4,8,11,2,7,19,"3-4","Y","N","N",6,1,"Monaco-Clermont",84,2,45,85,1800,170,595,3825,14,90,315,588,1190
"115","F1","2022-10-23","Clermont","Brest",1,3,"A",0,1,"A",2.36,3.44,3.25,"0-1","1-3",14,4,19,11,4,1,0,0,7,4,10,17,4,11,27,"7-4","Y","Y","Y",5,0,"Clermont-Brest",227,4,52,50,400,200,550,2600,44,208,572,2497,2200
"127","F1","2022-10-30","Nantes","Clermont",1,1,"D",0,0,"D",2.05,3.71,3.77,"0-0","1-1",13,4,10,6,0,2,0,0,2,2,15,9,2,4,24,"2-2","Y","N","N",2,0,"Nantes-Clermont",127,2,34,20,0,40,80,680,8,68,136,508,160
"135","F1","2022-11-06","Clermont","Montpellier",1,1,"D",0,1,"A",2.46,3.53,3.01,"0-1","1-1",16,7,7,3,1,2,0,0,5,1,14,17,2,6,31,"5-1","Y","N","N",3,0,"Clermont-Montpellier",72,2,20,30,200,60,180,600,12,40,120,432,360
"142","F1","2022-11-12","Lens","Clermont",2,1,"H",0,1,"A",1.43,5.03,7.96,"0-1","2-1",16,3,5,2,1,3,0,0,5,3,19,17,3,8,36,"5-3","Y","Y","N",4,0,"Lens-Clermont",167,3,56,40,300,120,320,2240,24,168,448,1336,960
"154","F1","2022-12-28","Clermont","Lille",0,2,"A",0,0,"D",4.5,3.84,1.85,"0-0","0-2",9,3,14,3,4,2,1,0,3,3,9,17,2,6,26,"3-3","Y","N","N",6,1,"Clermont-Lille",158,2,47,85,1300,170,510,3995,12,94,282,948,1020
"165","F1","2023-01-01","Lyon","Clermont",0,1,"A",0,0,"D",1.56,4.45,6.2,"0-0","0-1",13,2,13,3,1,3,0,0,7,4,21,13,1,11,34,"7-4","N","N","N",4,0,"Lyon-Clermont",87,1,70,40,300,40,440,2800,11,70,770,957,440
"174","F1","2023-01-11","Clermont","Rennes",2,1,"H",1,0,"H",4.1,3.66,1.97,"1-0","2-1",11,5,9,2,0,2,0,2,4,1,12,13,3,5,25,"4-1","Y","Y","N",2,2,"Clermont-Rennes",195,3,129,70,0,210,350,9030,15,387,645,975,1050
"185","F1","2023-01-15","Angers","Clermont",1,2,"A",0,1,"A",2.48,3.59,2.94,"0-1","1-2",5,1,10,6,2,2,0,0,3,1,15,11,3,4,26,"3-1","Y","Y","N",4,0,"Angers-Clermont",167,3,28,40,400,120,160,1120,12,84,112,668,480
"197","F1","2023-01-29","Clermont","Nantes",0,0,"D",0,0,"D",2.44,3.34,3.19,"0-0","0-0",9,0,4,0,2,1,0,0,9,1,9,23,0,10,32,"9-1","N","N","N",3,0,"Clermont-Nantes",0,0,0,30,200,0,300,0,0,0,0,0,0
"202","F1","2023-02-01","Lille","Clermont",0,0,"D",0,0,"D",1.52,4.5,7,"0-0","0-0",22,5,13,5,0,1,0,0,8,3,15,11,0,11,26,"8-3","N","N","N",1,0,"Lille-Clermont",0,0,0,10,0,0,110,0,0,0,0,0,0
"214","F1","2023-02-05","Clermont","Monaco",0,2,"A",0,2,"A",4.2,3.84,1.91,"0-2","0-2",8,3,14,5,1,2,0,0,2,4,9,21,2,6,30,"2-4","Y","N","N",3,0,"Clermont-Monaco",16,2,39,30,200,60,180,1170,12,78,234,96,360
"223","F1","2023-02-11","Clermont","Marseille",0,2,"A",0,1,"A",5.58,3.87,1.7,"0-1","0-2",9,4,17,5,4,3,0,0,3,4,15,16,2,7,31,"3-4","Y","N","N",7,0,"Clermont-Marseille",125,2,140,70,1200,140,490,9800,14,280,980,875,980
"237","F1","2023-02-19","Rennes","Clermont",2,0,"H",1,0,"H",1.6,4.12,6.39,"1-0","2-0",18,6,7,3,0,2,0,0,2,7,9,10,2,9,19,"2-7","Y","N","N",2,0,"Rennes-Clermont",101,2,18,20,0,40,180,360,18,36,162,909,360
"246","F1","2023-02-26","Clermont","Strasbourg",1,1,"D",0,1,"A",2.65,3.24,2.98,"0-1","1-1",11,4,12,6,1,4,0,0,7,2,17,25,2,9,42,"7-2","Y","N","N",5,0,"Clermont-Strasbourg",99,2,38,50,400,100,450,1900,18,76,342,891,900
"258","F1","2023-03-05","Toulouse","Clermont",0,1,"A",0,0,"D",1.81,3.85,4.6,"0-0","0-1",9,0,12,3,4,1,0,0,4,5,20,4,1,9,24,"4-5","N","N","N",5,0,"Toulouse-Clermont",76,1,10,50,400,50,450,500,9,10,90,684,450
"264","F1","2023-03-12","Clermont","Lens",0,4,"A",0,3,"A",4.85,3.56,1.84,"0-3","0-4",9,6,13,6,1,2,0,0,6,4,13,13,4,10,26,"6-4","Y","Y","Y",3,0,"Clermont-Lens",175,4,51,30,200,120,300,1530,40,204,510,1750,1200
"4","F1","2022-08-07","Toulouse","Nice",1,1,"D",1,0,"H",2.93,3.43,2.57,"1-0","1-1",6,4,11,4,1,2,0,0,6,3,10,8,2,9,18,"6-3","Y","N","N",3,0,"Toulouse-Nice",98,2,43,30,200,60,270,1290,18,86,387,882,540
"18","F1","2022-08-14","Nice","Strasbourg",1,1,"D",1,0,"H",2.22,3.37,3.63,"1-0","1-1",13,3,9,5,1,4,0,0,7,3,7,13,2,10,20,"7-3","Y","N","N",5,0,"Nice-Strasbourg",90,2,16,50,400,100,500,800,20,32,160,900,1000
"252","F1","2022-08-21","Clermont","Nice",1,0,"H",1,0,"H",3.65,3.6,2.12,"1-0","1-0",7,2,13,4,1,2,0,2,3,6,4,21,1,9,25,"3-6","N","N","N",3,2,"Clermont-Nice",6,1,10,80,700,80,720,800,9,10,90,54,720
"36","F1","2022-08-28","Nice","Marseille",0,3,"A",0,3,"A",2.85,3.54,2.58,"0-3","0-3",16,2,13,4,1,1,0,0,7,5,7,15,3,12,22,"7-5","Y","Y","N",2,0,"Nice-Marseille",89,3,170,20,100,60,240,3400,36,510,2040,1068,720
"46","F1","2022-08-31","Lille","Nice",1,2,"A",1,2,"A",2.09,3.6,3.74,"1-2","1-2",18,6,3,2,1,4,0,0,6,3,15,21,3,9,36,"6-3","Y","Y","N",5,0,"Lille-Nice",71,3,43,50,400,150,450,2150,27,129,387,639,1350
"59","F1","2022-09-04","Nice","Monaco",0,1,"A",0,0,"D",2.82,3.73,2.51,"0-0","0-1",12,5,14,2,2,1,0,0,3,6,10,12,1,9,22,"3-6","N","N","N",3,0,"Nice-Monaco",69,1,36,30,200,30,270,1080,9,36,324,621,270
"65","F1","2022-09-11","Ajaccio","Nice",0,1,"A",0,0,"D",3.4,3.06,2.49,"0-0","0-1",9,3,12,3,1,5,0,0,2,3,9,11,1,5,20,"2-3","N","N","N",6,0,"Ajaccio-Nice",65,1,7,60,500,60,300,420,5,7,35,325,300
"78","F1","2022-09-18","Nice","Angers",0,1,"A",0,1,"A",1.67,4.09,5.52,"0-1","0-1",18,5,16,3,0,4,1,1,5,4,9,11,1,9,20,"5-4","N","N","N",4,2,"Nice-Angers",43,1,6,90,1625,90,810,540,9,6,54,387,810
"83","F1","2022-10-01","Paris SG","Nice",2,1,"H",1,0,"H",1.18,8.41,14.98,"1-0","2-1",12,4,4,1,1,1,0,0,4,0,16,9,3,4,25,"4-0","Y","Y","N",2,0,"Paris SG-Nice",159,3,61,20,100,60,80,1220,12,183,244,636,240
"98","F1","2022-10-09","Nice","Troyes",3,2,"H",2,0,"H",1.78,3.77,5.06,"2-0","3-2",14,6,17,6,1,1,0,0,5,5,8,9,5,10,17,"5-5","Y","Y","Y",2,0,"Nice-Troyes",261,5,114,20,100,100,200,2280,50,570,1140,2610,1000
"105","F1","2022-10-16","Auxerre","Nice",1,1,"D",1,1,"D",3.65,3.57,2.13,"1-1","1-1",11,3,9,2,0,0,0,0,2,6,11,3,2,8,14,"2-6","Y","N","N",0,0,"Auxerre-Nice",62,2,16,0,0,0,0,0,16,32,128,496,0
"119","F1","2022-10-23","Nice","Nantes",1,1,"D",0,0,"D",1.91,3.66,4.4,"0-0","1-1",11,5,11,4,3,4,0,2,7,3,9,9,2,10,18,"7-3","Y","N","N",7,2,"Nice-Nantes",139,2,43,120,2700,240,1200,5160,20,86,430,1390,2400
"129","F1","2022-10-30","Lorient","Nice",1,2,"A",1,0,"H",2.58,3.47,2.89,"1-0","1-2",14,8,16,5,0,1,0,0,8,3,7,7,3,11,14,"8-3","Y","Y","N",1,0,"Lorient-Nice",148,3,55,10,0,30,110,550,33,165,605,1628,330
"136","F1","2022-11-06","Nice","Brest",1,0,"H",0,0,"D",1.85,3.82,4.47,"0-0","1-0",14,9,12,2,1,1,0,0,2,6,6,11,1,8,17,"2-6","N","N","N",2,0,"Nice-Brest",54,1,24,20,100,20,160,480,8,24,192,432,160
"141","F1","2022-11-11","Lyon","Nice",1,1,"D",0,1,"A",1.79,4.01,4.6,"0-1","1-1",9,3,13,3,1,0,0,0,3,4,7,7,2,7,14,"3-4","Y","N","N",1,0,"Lyon-Nice",127,2,39,10,0,20,70,390,14,78,273,889,140
"160","F1","2022-12-29","Nice","Lens",0,0,"D",0,0,"D",3.25,3.06,2.58,"0-0","0-0",9,5,10,2,2,3,0,0,4,6,11,18,0,10,29,"4-6","N","N","N",5,0,"Nice-Lens",0,0,0,50,600,0,500,0,0,0,0,0,0
"170","F1","2023-01-02","Rennes","Nice",2,1,"H",1,1,"D",1.84,3.95,4.4,"1-1","2-1",20,5,7,3,1,1,0,0,5,2,16,7,3,7,23,"5-2","Y","Y","N",2,0,"Rennes-Nice",115,3,32,20,100,60,140,640,21,96,224,805,420
"177","F1","2023-01-11","Nice","Montpellier",6,1,"H",2,0,"H",1.85,3.73,4.68,"2-0","6-1",16,10,4,2,1,1,0,0,3,4,16,17,7,7,33,"3-4","Y","Y","Y",2,0,"Nice-Montpellier",428,7,117,20,100,140,140,2340,49,819,819,2996,980
"187","F1","2023-01-15","Reims","Nice",0,0,"D",0,0,"D",2.53,3.37,3.03,"0-0","0-0",13,2,6,4,1,1,0,0,5,3,5,5,0,8,10,"5-3","N","N","N",2,0,"Reims-Nice",0,0,0,20,100,0,160,0,0,0,0,0,0
"194","F1","2023-01-29","Nice","Lille",1,0,"H",1,0,"H",2.98,3.35,2.58,"1-0","1-0",12,6,16,7,3,2,0,0,5,7,12,11,1,12,23,"5-7","N","N","N",5,0,"Nice-Lille",34,1,24,50,600,50,600,1200,12,24,288,408,600
"206","F1","2023-02-01","Lens","Nice",0,1,"A",0,0,"D",1.75,3.66,5.58,"0-0","0-1",9,4,14,6,0,2,0,0,5,3,12,8,1,8,20,"5-3","N","N","N",2,0,"Lens-Nice",57,1,24,20,0,20,160,480,8,24,192,456,160
"220","F1","2023-02-05","Marseille","Nice",1,3,"A",0,2,"A",1.73,3.9,5.27,"0-2","1-3",22,5,14,8,0,1,0,0,9,1,10,5,4,10,15,"9-1","Y","Y","Y",1,0,"Marseille-Nice",227,4,66,10,0,40,100,660,40,264,660,2270,400
"221","F1","2023-02-10","Nice","Ajaccio",3,0,"H",1,0,"H",1.61,3.91,6.84,"1-0","3-0",11,3,6,3,1,0,0,0,5,5,9,7,3,10,16,"5-5","Y","Y","N",1,0,"Nice-Ajaccio",162,3,32,10,0,30,100,320,30,96,320,1620,300
"232","F1","2023-02-18","Nice","Reims",0,0,"D",0,0,"D",2.17,3.42,3.72,"0-0","0-0",16,1,10,2,1,1,0,0,9,0,9,13,0,9,22,"9-0","N","N","N",2,0,"Nice-Reims",0,0,0,20,100,0,180,0,0,0,0,0,0
"249","F1","2023-02-26","Monaco","Nice",0,3,"A",0,3,"A",2.06,3.65,3.78,"0-3","0-3",15,4,12,7,0,1,0,0,5,3,8,12,3,8,20,"5-3","Y","Y","N",1,0,"Monaco-Nice",77,3,37,10,0,30,80,370,24,111,296,616,240
"251","F1","2023-03-03","Nice","Auxerre",1,1,"D",1,1,"D",1.66,3.84,5.97,"1-1","1-1",17,5,3,1,0,1,0,0,8,0,10,12,2,8,22,"8-0","Y","N","N",1,0,"Nice-Auxerre",81,2,31,10,0,20,80,310,16,62,248,648,160
"268","F1","2023-03-12","Nantes","Nice",2,2,"D",1,1,"D",3.02,3.21,2.6,"1-1","2-2",10,3,16,8,1,1,0,0,1,10,9,11,4,11,20,"1-10","Y","Y","Y",2,0,"Nantes-Nice",195,4,112,20,100,80,220,2240,44,448,1232,2145,880
"55","F1","2023-03-12","Nantes","Nice",2,2,"D",1,1,"D",3.02,3.21,2.6,"1-1","2-2",10,3,16,8,1,1,0,0,1,10,9,11,4,11,20,"1-10","Y","Y","Y",2,0,"Nantes-Nice",115.388888888889,2.2962962962963,51.0185185185185,39.7222222222222,411.574074074074,86.0185185185185,325.833333333333,2121.2037037037,18.5740740740741,168.611111111111,419.277777777778,926.87037037037,680.462962962963
