"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"109","F1","2022-10-16","Monaco","Clermont",1,1,"D",1,0,"H",1.38,4.91,10.25,"1-0","1-1",6,4,21,7,2,4,1,0,3,4,8,11,2,7,19,"3-4","Y","N","N",6,1,"Monaco-Clermont",84,2,45,85,1800,170,595,3825,14,90,315,588,1190
"115","F1","2022-10-23","Clermont","Brest",1,3,"A",0,1,"A",2.36,3.44,3.25,"0-1","1-3",14,4,19,11,4,1,0,0,7,4,10,17,4,11,27,"7-4","Y","Y","Y",5,0,"Clermont-Brest",227,4,52,50,400,200,550,2600,44,208,572,2497,2200
"127","F1","2022-10-30","Nantes","Clermont",1,1,"D",0,0,"D",2.05,3.71,3.77,"0-0","1-1",13,4,10,6,0,2,0,0,2,2,15,9,2,4,24,"2-2","Y","N","N",2,0,"Nantes-Clermont",127,2,34,20,0,40,80,680,8,68,136,508,160
"135","F1","2022-11-06","Clermont","Montpellier",1,1,"D",0,1,"A",2.46,3.53,3.01,"0-1","1-1",16,7,7,3,1,2,0,0,5,1,14,17,2,6,31,"5-1","Y","N","N",3,0,"Clermont-Montpellier",72,2,20,30,200,60,180,600,12,40,120,432,360
"142","F1","2022-11-12","Lens","Clermont",2,1,"H",0,1,"A",1.43,5.03,7.96,"0-1","2-1",16,3,5,2,1,3,0,0,5,3,19,17,3,8,36,"5-3","Y","Y","N",4,0,"Lens-Clermont",167,3,56,40,300,120,320,2240,24,168,448,1336,960
"154","F1","2022-12-28","Clermont","Lille",0,2,"A",0,0,"D",4.5,3.84,1.85,"0-0","0-2",9,3,14,3,4,2,1,0,3,3,9,17,2,6,26,"3-3","Y","N","N",6,1,"Clermont-Lille",158,2,47,85,1300,170,510,3995,12,94,282,948,1020
"165","F1","2023-01-01","Lyon","Clermont",0,1,"A",0,0,"D",1.56,4.45,6.2,"0-0","0-1",13,2,13,3,1,3,0,0,7,4,21,13,1,11,34,"7-4","N","N","N",4,0,"Lyon-Clermont",87,1,70,40,300,40,440,2800,11,70,770,957,440
"174","F1","2023-01-11","Clermont","Rennes",2,1,"H",1,0,"H",4.1,3.66,1.97,"1-0","2-1",11,5,9,2,0,2,0,2,4,1,12,13,3,5,25,"4-1","Y","Y","N",2,2,"Clermont-Rennes",195,3,129,70,0,210,350,9030,15,387,645,975,1050
"185","F1","2023-01-15","Angers","Clermont",1,2,"A",0,1,"A",2.48,3.59,2.94,"0-1","1-2",5,1,10,6,2,2,0,0,3,1,15,11,3,4,26,"3-1","Y","Y","N",4,0,"Angers-Clermont",167,3,28,40,400,120,160,1120,12,84,112,668,480
"197","F1","2023-01-29","Clermont","Nantes",0,0,"D",0,0,"D",2.44,3.34,3.19,"0-0","0-0",9,0,4,0,2,1,0,0,9,1,9,23,0,10,32,"9-1","N","N","N",3,0,"Clermont-Nantes",0,0,0,30,200,0,300,0,0,0,0,0,0
"202","F1","2023-02-01","Lille","Clermont",0,0,"D",0,0,"D",1.52,4.5,7,"0-0","0-0",22,5,13,5,0,1,0,0,8,3,15,11,0,11,26,"8-3","N","N","N",1,0,"Lille-Clermont",0,0,0,10,0,0,110,0,0,0,0,0,0
"214","F1","2023-02-05","Clermont","Monaco",0,2,"A",0,2,"A",4.2,3.84,1.91,"0-2","0-2",8,3,14,5,1,2,0,0,2,4,9,21,2,6,30,"2-4","Y","N","N",3,0,"Clermont-Monaco",16,2,0,30,200,60,180,0,12,0,0,96,360
"223","F1","2023-02-11","Clermont","Marseille",0,2,"A",0,1,"A",5.58,3.87,1.7,"0-1","0-2",9,4,17,5,4,3,0,0,3,4,15,16,2,7,31,"3-4","Y","N","N",7,0,"Clermont-Marseille",125,2,0,70,1200,140,490,0,14,0,0,875,980
"237","F1","2023-02-19","Rennes","Clermont",2,0,"H",1,0,"H",1.6,4.12,6.39,"1-0","2-0",18,6,7,3,0,2,0,0,2,7,9,10,2,9,19,"2-7","Y","N","N",2,0,"Rennes-Clermont",101,2,18,20,0,40,180,360,18,36,162,909,360
"246","F1","2023-02-26","Clermont","Strasbourg",1,1,"D",0,1,"A",2.65,3.24,2.98,"0-1","1-1",11,4,12,6,1,4,0,0,7,2,17,25,2,9,42,"7-2","Y","N","N",5,0,"Clermont-Strasbourg",99,2,38,50,400,100,450,1900,18,76,342,891,900
"258","F1","2023-03-05","Toulouse","Clermont",0,1,"A",0,0,"D",1.81,3.85,4.6,"0-0","0-1",9,0,12,3,4,1,0,0,4,5,20,4,1,9,24,"4-5","N","N","N",5,0,"Toulouse-Clermont",76,1,10,50,400,50,450,500,9,10,90,684,450
"6","F1","2022-08-07","Lens","Brest",3,2,"H",1,0,"H",1.6,4.6,5.51,"1-0","3-2",17,7,6,4,2,4,0,0,6,3,16,14,5,9,30,"6-3","Y","Y","Y",6,0,"Lens-Brest",302,5,38,60,800,300,540,2280,45,190,342,2718,2700
"14","F1","2022-08-14","Ajaccio","Lens",0,0,"D",0,0,"D",3.31,3.29,2.4,"0-0","0-0",9,2,12,3,5,2,0,0,1,3,16,18,0,4,34,"1-3","N","N","N",7,0,"Ajaccio-Lens",0,0,0,70,1000,0,280,0,0,0,0,0,0
"21","F1","2022-08-20","Monaco","Lens",1,4,"A",1,2,"A",1.78,4.1,4.6,"1-2","1-4",12,5,14,6,4,0,1,0,3,5,18,13,5,8,31,"3-5","Y","Y","Y",4,1,"Monaco-Lens",219,5,49,65,0,325,520,3185,40,245,392,1752,2600
"32","F1","2022-08-27","Lens","Rennes",2,1,"H",0,0,"D",2.6,3.51,2.83,"0-0","2-1",17,4,12,6,0,1,0,0,7,2,15,13,3,9,28,"7-2","Y","Y","N",1,0,"Lens-Rennes",226,3,43,10,0,30,90,430,27,129,387,2034,270
"45","F1","2022-08-31","Lens","Lorient",5,2,"H",2,1,"H",1.56,4.47,6.2,"2-1","5-2",15,8,10,3,1,3,0,0,4,5,10,6,7,9,16,"4-5","Y","Y","Y",4,0,"Lens-Lorient",363,7,99,40,300,280,360,3960,63,693,891,3267,2520
"57","F1","2022-09-04","Reims","Lens",1,1,"D",0,0,"D",3.23,3.58,2.31,"0-0","1-1",17,4,20,4,2,2,0,1,4,4,9,11,2,8,20,"4-4","Y","N","N",4,1,"Reims-Lens",153,2,40,65,900,130,520,2600,16,80,320,1224,1040
"61","F1","2022-09-09","Lens","Troyes",1,0,"H",1,0,"H",1.52,4.75,6.35,"1-0","1-0",12,3,7,2,2,1,0,0,9,1,16,10,1,10,26,"9-1","N","N","N",3,0,"Lens-Troyes",39,1,4,30,200,30,300,120,10,4,40,390,300
"79","F1","2022-09-18","Nantes","Lens",0,0,"D",0,0,"D",3.29,3.62,2.26,"0-0","0-0",12,4,8,2,1,1,0,0,3,7,14,14,0,10,28,"3-7","N","N","N",2,0,"Nantes-Lens",0,0,0,20,100,0,200,0,0,0,0,0,0
"90","F1","2022-10-02","Lens","Lyon",1,0,"H",0,0,"D",2.57,3.87,2.67,"0-0","1-0",21,6,4,0,2,2,0,0,6,2,19,16,1,8,35,"6-2","N","N","N",4,0,"Lens-Lyon",82,1,7,40,400,40,320,280,8,7,56,656,320
"100","F1","2022-10-09","Lille","Lens",1,0,"H",1,0,"H",2.49,3.59,2.92,"1-0","1-0",12,6,10,3,3,5,0,0,5,9,19,15,1,14,34,"5-9","N","N","N",8,0,"Lille-Lens",44,1,9,80,1500,80,1120,720,14,9,126,616,1120
"103","F1","2022-10-15","Lens","Montpellier",1,0,"H",0,0,"D",1.43,5.11,7.78,"0-0","1-0",17,5,8,1,2,2,0,0,4,5,12,10,1,9,22,"4-5","N","N","N",4,0,"Lens-Montpellier",67,1,22,40,400,40,360,880,9,22,198,603,360
"113","F1","2022-10-22","Marseille","Lens",0,1,"A",0,0,"D",2.21,3.57,3.45,"0-0","0-1",13,3,12,4,3,3,0,0,7,3,19,20,1,10,39,"7-3","N","N","N",6,0,"Marseille-Lens",78,1,20,60,900,60,600,1200,10,20,200,780,600
"121","F1","2022-10-28","Lens","Toulouse",3,0,"H",0,0,"D",1.58,4.6,5.73,"0-0","3-0",13,8,9,0,2,1,0,0,6,8,12,13,3,14,25,"6-8","Y","Y","N",3,0,"Lens-Toulouse",236,3,33,30,200,90,420,990,42,99,462,3304,1260
"133","F1","2022-11-05","Angers","Lens",1,2,"A",0,1,"A",5.02,4.09,1.72,"0-1","1-2",6,3,12,4,1,2,0,0,3,4,16,6,3,7,22,"3-4","Y","Y","N",3,0,"Angers-Lens",159,3,41,30,200,90,210,1230,21,123,287,1113,630
"1421","F1","2022-11-12","Lens","Clermont",2,1,"H",0,1,"A",1.43,5.03,7.96,"0-1","2-1",16,3,5,2,1,3,0,0,5,3,19,17,3,8,36,"5-3","Y","Y","N",4,0,"Lens-Clermont",167,3,56,40,300,120,320,2240,24,168,448,1336,960
"160","F1","2022-12-29","Nice","Lens",0,0,"D",0,0,"D",3.25,3.06,2.58,"0-0","0-0",9,5,10,2,2,3,0,0,4,6,11,18,0,10,29,"4-6","N","N","N",5,0,"Nice-Lens",0,0,0,50,600,0,500,0,0,0,0,0,0
"166","F1","2023-01-01","Lens","Paris SG",3,1,"H",2,1,"H",3.31,3.54,2.28,"2-1","3-1",10,4,16,6,2,3,0,0,3,7,16,12,4,10,28,"3-7","Y","Y","Y",5,0,"Lens-Paris SG",88,4,102,50,600,200,500,5100,40,408,1020,880,2000
"179","F1","2023-01-11","Strasbourg","Lens",2,2,"D",2,2,"D",3.85,3.64,2.05,"2-2","2-2",9,6,15,8,1,1,0,0,3,4,15,10,4,7,25,"3-4","Y","Y","Y",2,0,"Strasbourg-Lens",73,4,52,20,100,80,140,1040,28,208,364,511,560
"181","F1","2023-01-14","Lens","Auxerre",1,0,"H",0,0,"D",1.38,5.09,9.65,"0-0","1-0",10,2,6,1,2,4,0,1,9,2,21,16,1,11,37,"9-2","N","N","N",6,1,"Lens-Auxerre",59,1,29,85,1300,85,935,2465,11,29,319,649,935
"192","F1","2023-01-28","Troyes","Lens",1,1,"D",0,0,"D",5.2,4.03,1.71,"0-0","1-1",6,1,21,5,2,2,0,0,3,11,12,7,2,14,19,"3-11","Y","N","N",4,0,"Troyes-Lens",138,2,0,40,400,80,560,0,28,0,0,1932,1120
"206","F1","2023-02-01","Lens","Nice",0,1,"A",0,0,"D",1.75,3.66,5.58,"0-0","0-1",9,4,14,6,0,2,0,0,5,3,12,8,1,8,20,"5-3","N","N","N",2,0,"Lens-Nice",57,1,0,20,0,20,160,0,8,0,0,456,160
"219","F1","2023-02-05","Brest","Lens",1,1,"D",0,0,"D",4.67,3.79,1.83,"0-0","1-1",16,3,20,7,4,2,0,0,11,5,15,9,2,16,24,"11-5","Y","N","N",6,0,"Brest-Lens",137,2,0,60,800,120,960,0,32,0,0,2192,1920
"230","F1","2023-02-12","Lyon","Lens",2,1,"H",1,1,"D",2.43,3.52,3.07,"1-1","2-1",11,5,14,4,1,1,0,0,2,5,15,11,3,7,26,"2-5","Y","Y","N",2,0,"Lyon-Lens",126,3,31,20,100,60,140,620,21,93,217,882,420
"239","F1","2023-02-19","Lens","Nantes",3,1,"H",2,1,"H",1.52,4.43,7.05,"2-1","3-1",19,6,6,3,0,0,0,0,2,5,9,15,4,7,24,"2-5","Y","Y","Y",0,0,"Lens-Nantes",184,4,149,0,0,0,0,0,28,596,1043,1288,0
"243","F1","2023-02-25","Montpellier","Lens",1,1,"D",0,1,"A",4.6,3.72,1.86,"0-1","1-1",8,3,19,6,0,3,0,0,4,6,12,13,2,10,25,"4-6","Y","N","N",3,0,"Montpellier-Lens",63,2,47,30,0,60,300,1410,20,94,470,630,600
"252","F1","2023-03-04","Lens","Lille",1,1,"D",1,0,"H",2.41,3.45,3.1,"1-0","1-1",10,1,11,6,2,4,0,0,10,3,18,14,2,13,32,"10-3","Y","N","N",6,0,"Lens-Lille",110,2,0,60,800,120,780,0,26,0,0,1430,1560
"53","F1","2023-03-04","Lens","Lille",1,1,"D",1,0,"H",2.41,3.45,3.1,"1-0","1-1",10,1,11,6,2,4,0,0,10,3,18,14,2,13,32,"10-3","Y","N","N",6,0,"Lens-Lille",122.480769230769,2.32692307692308,41.9038461538462,45.3846153846154,482.692307692308,103.75,395.961538461538,1959.71153846154,19.3076923076923,146.653846153846,334.173076923077,1038.90384615385,872.692307692308
