"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"8","F1",2022-08-07,"Montpellier","Troyes",3,2,"H",2,2,"D",2.21,3.53,3.49,"2-2","3-2",17,6,15,10,1,0,0,0,3,6,5,9,"Y","Y","Y",1,0,"Montpellier-Troyes",128,5,74,10,0,50,90,740,45,370,666,1152,450
"13","F1",2022-08-13,"Paris SG","Montpellier",5,2,"H",2,0,"H",1.1,11.52,25.32,"2-0","5-2",20,10,7,4,2,1,0,0,11,0,7,11,"Y","Y","Y",3,0,"Paris SG-Montpellier",437,7,250,30,200,210,330,7500,77,1750,2750,4807,2310
"26","F1",2022-08-21,"Montpellier","Auxerre",1,2,"A",1,0,"H",2.11,3.75,3.53,"1-0","1-2",13,7,7,2,1,3,2,2,7,2,3,9,"Y","Y","N",4,4,"Montpellier-Auxerre",184,3,113,140,4800,420,1260,15820,27,339,1017,1656,3780
"34","F1",2022-08-28,"Brest","Montpellier",0,7,"A",0,5,"A",1.94,3.65,4.26,"0-5","0-7",6,0,14,8,0,2,1,0,5,4,7,9,"Y","Y","Y",2,1,"Brest-Montpellier",231,7,217,45,500,315,405,9765,63,1519,1953,2079,2835
"43","F1",2022-08-31,"Montpellier","Ajaccio",2,0,"H",1,0,"H",2.15,3.41,3.79,"1-0","2-0",9,4,15,0,2,4,1,1,3,8,2,11,"Y","N","N",6,2,"Montpellier-Ajaccio",105,2,28,110,2925,220,1210,3080,22,56,308,1155,2420
"53","F1",2022-09-04,"Montpellier","Lille",1,3,"A",1,1,"D",3.4,3.78,2.16,"1-1","1-3",4,2,26,7,0,4,1,0,1,9,4,10,"Y","Y","Y",4,1,"Montpellier-Lille",208,4,59,65,1000,260,650,3835,40,236,590,2080,2600
"66","F1",2022-09-11,"Angers","Montpellier",2,1,"H",1,1,"D",2.44,3.8,2.86,"1-1","2-1",11,5,7,2,2,4,0,0,2,5,3,7,"Y","Y","N",6,0,"Angers-Montpellier",85,3,37,60,800,180,420,2220,21,111,259,595,1260
"721","F1",2022-09-17,"Montpellier","Strasbourg",2,1,"H",1,0,"H",2.55,3.61,2.84,"1-0","2-1",10,4,8,2,4,4,0,0,8,6,3,14,"Y","Y","N",8,0,"Montpellier-Strasbourg",192,3,38,80,1600,240,1120,3040,42,114,532,2688,3360
"87","F1",2022-10-02,"Toulouse","Montpellier",4,2,"H",3,1,"H",1.93,3.96,3.98,"3-1","4-2",12,6,23,6,5,4,1,0,3,12,6,15,"Y","Y","Y",9,1,"Toulouse-Montpellier",196,6,0,115,3000,690,1725,0,90,0,0,2940,10350
"94","F1",2022-10-09,"Montpellier","Monaco",0,2,"A",0,1,"A",3.74,4.21,1.93,"0-1","0-2",11,1,11,7,2,3,0,0,7,2,2,9,"Y","N","N",5,0,"Montpellier-Monaco",125,2,45,50,600,100,450,2250,18,90,405,1125,900
"103","F1",2022-10-15,"Lens","Montpellier",1,0,"H",0,0,"D",1.43,5.11,7.78,"0-0","1-0",17,5,8,1,2,2,0,0,4,5,1,9,"N","N","N",4,0,"Lens-Montpellier",67,1,22,40,400,40,360,880,9,22,198,603,360
"112","F1",2022-10-22,"Montpellier","Lyon",1,2,"A",0,1,"A",4.07,4.13,1.86,"0-1","1-2",10,4,21,10,2,2,1,1,4,7,3,11,"Y","Y","N",4,2,"Montpellier-Lyon",193,3,39,90,2025,270,990,3510,33,117,429,2123,2970
"128","F1",2022-10-30,"Rennes","Montpellier",3,0,"H",2,0,"H",1.35,5.66,9.18,"2-0","3-0",14,3,8,3,1,2,0,0,3,4,3,7,"Y","Y","N",3,0,"Rennes-Montpellier",123,3,35,30,200,90,210,1050,21,105,245,861,630
"135","F1",2022-11-06,"Clermont","Montpellier",1,1,"D",0,1,"A",2.46,3.53,3.01,"0-1","1-1",16,7,7,3,1,2,0,0,5,1,2,6,"Y","N","N",3,0,"Clermont-Montpellier",72,2,20,30,200,60,180,600,12,40,120,432,360
"147","F1",2022-11-13,"Montpellier","Reims",1,1,"D",0,0,"D",2.59,3.59,2.8,"0-0","1-1",16,8,17,4,2,2,0,0,11,7,2,18,"Y","N","N",4,0,"Montpellier-Reims",177,2,0,40,400,80,720,0,36,0,0,3186,1440
"157","F1",2022-12-29,"Lorient","Montpellier",0,2,"A",0,2,"A",2.05,3.75,3.71,"0-2","0-2",12,4,14,6,3,4,0,0,5,2,2,7,"Y","N","N",7,0,"Lorient-Montpellier",25,2,32,70,1200,140,490,2240,14,64,224,175,980
"169","F1",2023-01-02,"Montpellier","Marseille",1,2,"A",0,0,"D",4.41,4.09,1.81,"0-0","1-2",8,1,18,9,2,2,0,1,5,7,3,12,"Y","Y","N",4,1,"Montpellier-Marseille",198,3,55,65,900,195,780,3575,36,165,660,2376,2340
"177","F1",2023-01-11,"Nice","Montpellier",6,1,"H",2,0,"H",1.85,3.73,4.68,"2-0","6-1",16,10,4,2,1,1,0,0,3,4,7,7,"Y","Y","Y",2,0,"Nice-Montpellier",428,7,117,20,100,140,140,2340,49,819,819,2996,980
"186","F1",2023-01-15,"Montpellier","Nantes",0,3,"A",0,1,"A",2.62,3.51,2.81,"0-1","0-3",11,5,12,7,1,2,2,0,3,5,3,8,"Y","Y","N",3,2,"Montpellier-Nantes",210,3,44,80,1200,240,640,3520,24,132,352,1680,1920
"195","F1",2023-01-29,"Auxerre","Montpellier",0,2,"A",0,0,"D",2.51,3.43,3.01,"0-0","0-2",16,5,4,3,1,3,0,0,5,3,2,8,"Y","N","N",4,0,"Auxerre-Montpellier",142,2,20,40,300,80,320,800,16,40,160,1136,640
"41","F1",2023-01-29,"Auxerre","Montpellier",0,2,"A",0,0,"D",2.51,3.43,3.01,"0-0","0-2",16,5,4,3,1,3,0,0,5,3,2,8,"Y","N","N",4,0,"Auxerre-Montpellier",155.9,3.275,54.825,53.125,800,167,516.25,2734.125,30.1,248.375,472.875,1464.3,1655.75
