"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"107","F1","2022-10-16","Rennes","Lyon",3,2,"H",1,1,"D",2.37,3.59,3.11,"1-1","3-2",14,5,7,5,2,2,0,0,3,2,13,14,5,5,27,"3-2","Y","Y","Y",4,0,"Rennes-Lyon",257,5,53,40,400,200,200,2120,25,265,265,1285,1000
"112","F1","2022-10-22","Montpellier","Lyon",1,2,"A",0,1,"A",4.07,4.13,1.86,"0-1","1-2",10,4,21,10,2,2,1,1,4,7,9,18,3,11,27,"4-7","Y","Y","N",4,2,"Montpellier-Lyon",193,3,39,90,2025,270,990,3510,33,117,429,2123,2970
"130","F1","2022-10-30","Lyon","Lille",1,0,"H",0,0,"D",2.06,3.91,3.57,"0-0","1-0",6,3,15,5,3,1,0,0,3,6,11,15,1,9,26,"3-6","N","N","N",4,0,"Lyon-Lille",74,1,10,40,300,40,360,400,9,10,90,666,360
"140","F1","2022-11-06","Marseille","Lyon",1,0,"H",1,0,"H",2.28,3.59,3.27,"1-0","1-0",6,2,11,4,0,1,0,0,6,4,9,13,1,10,22,"6-4","N","N","N",1,0,"Marseille-Lyon",43,1,4,10,0,10,100,40,10,4,40,430,100
"141","F1","2022-11-11","Lyon","Nice",1,1,"D",0,1,"A",1.79,4.01,4.6,"0-1","1-1",9,3,13,3,1,0,0,0,3,4,7,7,2,7,14,"3-4","Y","N","N",1,0,"Lyon-Nice",127,2,39,10,0,20,70,390,14,78,273,889,140
"155","F1","2022-12-28","Brest","Lyon",2,4,"A",1,3,"A",3.7,3.91,2.01,"1-3","2-4",17,5,17,10,2,2,0,0,6,6,8,19,6,12,27,"6-6","Y","Y","Y",4,0,"Brest-Lyon",238,6,89,40,400,240,480,3560,72,534,1068,2856,2880
"165","F1","2023-01-01","Lyon","Clermont",0,1,"A",0,0,"D",1.56,4.45,6.2,"0-0","0-1",13,2,13,3,1,3,0,0,7,4,21,13,1,11,34,"7-4","N","N","N",4,0,"Lyon-Clermont",87,1,70,40,300,40,440,2800,11,70,770,957,440
"175","F1","2023-01-11","Nantes","Lyon",0,0,"D",0,0,"D",3.39,3.43,2.29,"0-0","0-0",13,5,10,6,2,3,0,0,6,1,12,15,0,7,27,"6-1","N","N","N",5,0,"Nantes-Lyon",0,0,0,50,600,0,350,0,0,0,0,0,0
"183","F1","2023-01-14","Lyon","Strasbourg",1,2,"A",1,2,"A",1.63,4.38,5.49,"1-2","1-2",28,7,8,6,1,3,0,0,14,2,10,16,3,16,26,"14-2","Y","Y","N",4,0,"Lyon-Strasbourg",106,3,36,40,300,120,640,1440,48,108,576,1696,1920
"199","F1","2023-01-29","Ajaccio","Lyon",0,2,"A",0,1,"A",4.93,3.72,1.81,"0-1","0-2",16,5,8,2,2,3,0,0,5,1,22,18,2,6,40,"5-1","Y","N","N",5,0,"Ajaccio-Lyon",91,2,34,50,600,100,300,1700,12,68,204,546,600
"207","F1","2023-02-01","Lyon","Brest",0,0,"D",0,0,"D",1.54,4.71,6.04,"0-0","0-0",28,8,8,1,0,0,0,0,15,2,10,13,0,17,23,"15-2","N","N","N",0,0,"Lyon-Brest",0,0,0,0,0,0,0,0,0,0,0,0,0
"212","F1","2023-02-04","Troyes","Lyon",1,3,"A",0,1,"A",4.65,4.25,1.74,"0-1","1-3",8,2,10,6,0,1,0,0,5,6,10,14,4,11,24,"5-6","Y","Y","Y",1,0,"Troyes-Lyon",254,4,0,10,0,40,110,0,44,0,0,2794,440
"230","F1","2023-02-12","Lyon","Lens",2,1,"H",1,1,"D",2.43,3.52,3.07,"1-1","2-1",11,5,14,4,1,1,0,0,2,5,15,11,3,7,26,"2-5","Y","Y","N",2,0,"Lyon-Lens",126,3,31,20,100,60,140,620,21,93,217,882,420
"231","F1","2023-02-17","Auxerre","Lyon",2,1,"H",0,1,"A",4.14,3.69,1.96,"0-1","2-1",8,3,6,4,4,2,0,0,6,4,17,12,3,10,29,"6-4","Y","Y","N",6,0,"Auxerre-Lyon",140,3,23,60,800,180,600,1380,30,69,230,1400,1800
"242","F1","2023-02-25","Angers","Lyon",1,3,"A",0,1,"A",5.07,3.98,1.74,"0-1","1-3",11,2,7,5,0,0,0,0,2,2,16,6,4,4,22,"2-2","Y","Y","Y",0,0,"Angers-Lyon",295,4,75,0,0,0,0,0,16,300,300,1180,0
"259","F1","2023-03-05","Lyon","Lorient",0,0,"D",0,0,"D",1.56,4.5,5.92,"0-0","0-0",17,5,11,1,1,0,0,0,6,5,19,6,0,11,25,"6-5","N","N","N",1,0,"Lyon-Lorient",0,0,0,10,0,0,110,0,0,0,0,0,0
"9","F1","2022-08-07","Rennes","Lorient",0,1,"A",0,0,"D",1.36,5.56,9.19,"0-0","0-1",21,6,8,2,3,1,0,0,7,2,11,5,1,9,16,"7-2","N","N","N",4,0,"Rennes-Lorient",65,1,5,40,300,40,360,200,9,5,45,585,360
"27","F1","2022-08-21","Toulouse","Lorient",2,2,"D",1,1,"D",2.05,3.55,3.95,"1-1","2-2",16,8,14,4,2,1,0,0,3,6,14,10,4,9,24,"3-6","Y","Y","Y",3,0,"Toulouse-Lorient",177,4,102,30,200,120,270,3060,36,408,918,1593,1080
"35","F1","2022-08-28","Lorient","Clermont",2,1,"H",2,0,"H",2.06,3.52,3.94,"2-0","2-1",22,9,9,2,1,3,0,1,3,4,12,9,3,7,21,"3-4","Y","Y","N",4,1,"Lorient-Clermont",127,3,96,65,550,195,455,6240,21,288,672,889,1365
"45","F1","2022-08-31","Lens","Lorient",5,2,"H",2,1,"H",1.56,4.47,6.2,"2-1","5-2",15,8,10,3,1,3,0,0,4,5,10,6,7,9,16,"4-5","Y","Y","Y",4,0,"Lens-Lorient",363,7,99,40,300,280,360,3960,63,693,891,3267,2520
"54","F1","2022-09-04","Ajaccio","Lorient",0,1,"A",0,0,"D",2.53,3.25,3.14,"0-0","0-1",16,3,7,4,4,1,0,0,3,3,16,12,1,6,28,"3-3","N","N","N",5,0,"Ajaccio-Lorient",51,1,11,50,400,50,300,550,6,11,66,306,300
"601","F1","2022-09-07","Lorient","Lyon",3,1,"H",2,1,"H",4.64,4.42,1.72,"2-1","3-1",11,6,15,7,1,3,0,0,1,6,8,18,4,7,26,"1-6","Y","Y","Y",4,0,"Lorient-Lyon",116,4,44,40,300,160,280,1760,28,176,308,812,1120
"67","F1","2022-09-11","Lorient","Nantes",3,2,"H",1,1,"D",2.18,3.23,3.93,"1-1","3-2",13,5,9,4,2,3,0,0,2,5,9,17,5,7,26,"2-5","Y","Y","Y",5,0,"Lorient-Nantes",251,5,83,50,600,250,350,4150,35,415,581,1757,1750
"71","F1","2022-09-16","Auxerre","Lorient",1,3,"A",0,3,"A",2.81,3.38,2.7,"0-3","1-3",17,5,12,8,3,1,0,0,9,5,13,11,4,14,24,"9-5","Y","Y","Y",4,0,"Auxerre-Lorient",143,4,0,40,300,160,560,0,56,0,0,2002,2240
"84","F1","2022-10-02","Lorient","Lille",2,1,"H",1,0,"H",2.93,3.66,2.45,"1-0","2-1",7,4,20,4,3,3,1,0,0,14,13,14,3,14,27,"0-14","Y","Y","N",6,1,"Lorient-Lille",174,3,64,85,1650,255,1190,5440,42,192,896,2436,3570
"96","F1","2022-10-09","Brest","Lorient",1,2,"A",1,1,"D",2.35,3.51,3.2,"1-1","1-2",12,4,14,5,3,1,0,0,7,8,14,13,3,15,27,"7-8","Y","Y","N",4,0,"Brest-Lorient",94,3,36,40,300,120,600,1440,45,108,540,1410,1800
"102","F1","2022-10-15","Lorient","Reims",0,0,"D",0,0,"D",2.34,3.39,3.33,"0-0","0-0",10,3,7,2,1,3,0,2,2,2,10,17,0,4,27,"2-2","N","N","N",4,2,"Lorient-Reims",0,0,0,90,800,0,360,0,0,0,0,0,0
"118","F1","2022-10-23","Troyes","Lorient",2,2,"D",1,0,"H",2.47,3.56,2.98,"1-0","2-2",13,4,21,5,2,0,0,0,3,6,8,9,4,9,17,"3-6","Y","Y","Y",2,0,"Troyes-Lorient",226,4,50,20,0,80,180,1000,36,200,450,2034,720
"129","F1","2022-10-30","Lorient","Nice",1,2,"A",1,0,"H",2.58,3.47,2.89,"1-0","1-2",14,8,16,5,0,1,0,0,8,3,7,7,3,11,14,"8-3","Y","Y","N",1,0,"Lorient-Nice",148,3,55,10,0,30,110,550,33,165,605,1628,330
"134","F1","2022-11-06","Lorient","Paris SG",1,2,"A",0,1,"A",10.48,6.6,1.27,"0-1","1-2",9,2,15,8,1,1,0,0,5,8,10,9,3,13,19,"5-8","Y","Y","N",2,0,"Lorient-Paris SG",143,3,38,20,100,60,260,760,39,114,494,1859,780
"149","F1","2022-11-13","Strasbourg","Lorient",1,1,"D",0,1,"A",2.18,3.65,3.45,"0-1","1-1",20,4,6,2,4,1,0,0,4,2,9,9,2,6,18,"4-2","Y","N","N",5,0,"Strasbourg-Lorient",92,2,33,50,400,100,300,1650,12,66,198,552,600
"157","F1","2022-12-29","Lorient","Montpellier",0,2,"A",0,2,"A",2.05,3.75,3.71,"0-2","0-2",12,4,14,6,3,4,0,0,5,2,15,15,2,7,30,"5-2","Y","N","N",7,0,"Lorient-Montpellier",25,2,32,70,1200,140,490,2240,14,64,224,175,980
"161","F1","2023-01-01","Angers","Lorient",1,2,"A",1,0,"H",2.82,3.59,2.57,"1-0","1-2",14,6,10,5,3,0,0,0,7,7,16,9,3,14,25,"7-7","Y","Y","N",3,0,"Angers-Lorient",177,3,48,30,0,90,420,1440,42,144,672,2478,1260
"176","F1","2023-01-11","Lorient","Monaco",2,2,"D",0,0,"D",3.96,3.9,1.94,"0-0","2-2",8,6,16,4,1,1,0,0,3,4,8,13,4,7,21,"3-4","Y","Y","Y",2,0,"Lorient-Monaco",303,4,70,20,100,80,140,1400,28,280,490,2121,560
"182","F1","2023-01-14","Marseille","Lorient",3,1,"H",1,1,"D",1.41,5.24,7.96,"1-1","3-1",16,8,11,3,1,0,0,0,6,3,14,12,4,9,26,"6-3","Y","Y","Y",1,0,"Marseille-Lorient",179,4,133,10,0,40,90,1330,36,532,1197,1611,360
"191","F1","2023-01-27","Lorient","Rennes",2,1,"H",2,0,"H",4.1,3.6,1.99,"2-0","2-1",4,4,19,6,1,1,0,0,2,10,4,6,3,12,10,"2-10","Y","Y","N",2,0,"Lorient-Rennes",116,3,0,20,100,60,240,0,36,0,0,1392,720
"204","F1","2023-02-01","Reims","Lorient",4,2,"H",1,2,"A",1.87,3.73,4.52,"1-2","4-2",31,9,12,5,1,0,0,0,5,7,11,7,6,12,18,"5-7","Y","Y","Y",1,0,"Reims-Lorient",265,6,0,10,0,60,120,0,72,0,0,3180,720
"217","F1","2023-02-05","Lorient","Angers",0,0,"D",0,0,"D",1.9,3.64,4.48,"0-0","0-0",13,2,13,5,2,4,0,0,8,6,16,16,0,14,32,"8-6","N","N","N",6,0,"Lorient-Angers",0,0,0,60,800,0,840,0,0,0,0,0,0
"229","F1","2023-02-12","Nantes","Lorient",1,0,"H",0,0,"D",2.05,3.56,3.93,"0-0","1-0",13,6,9,5,0,0,0,0,7,3,12,11,1,10,23,"7-3","N","N","N",0,0,"Nantes-Lorient",66,1,10,0,0,0,0,0,10,10,100,660,0
"236","F1","2023-02-19","Lorient","Ajaccio",3,0,"H",2,0,"H",2.11,3.3,4.08,"2-0","3-0",10,6,12,3,0,2,0,0,2,2,11,14,3,4,25,"2-2","Y","Y","N",2,0,"Lorient-Ajaccio",107,3,46,20,0,60,80,920,12,138,184,428,240
"244","F1","2023-02-26","Lorient","Auxerre",0,1,"A",0,0,"D",2.12,3.58,3.69,"0-0","0-1",18,4,9,1,2,3,0,0,10,0,12,21,1,10,33,"10-0","N","N","N",5,0,"Lorient-Auxerre",58,1,97,50,600,50,500,4850,10,97,970,580,500
"2591","F1","2023-03-05","Lyon","Lorient",0,0,"D",0,0,"D",1.56,4.5,5.92,"0-0","0-0",17,5,11,1,1,0,0,0,6,5,19,6,0,11,25,"6-5","N","N","N",1,0,"Lyon-Lorient",0,0,0,10,0,0,110,0,0,0,0,0,0
"53","F1","2023-03-05","Lyon","Lorient",0,0,"D",0,0,"D",1.56,4.5,5.92,"0-0","0-0",17,5,11,1,1,0,0,0,6,5,19,6,0,11,25,"6-5","N","N","N",1,0,"Lyon-Lorient",131.057692307692,2.71153846153846,41.8846153846154,36.0576923076923,377.884615384615,94.2307692307692,332.307692307692,1664.42307692308,25.9807692307692,146.980769230769,379.557692307692,1249.48076923077,900.673076923077
