"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"182","F1",2023-01-14,"Marseille","Lorient",3,1,"H",1,1,"D",1.41,5.24,7.96,"1-1","3-1",16,8,11,3,1,0,0,0,6,3,4,9,"Y","Y","Y",1,0,"Marseille-Lorient",179,4,133,10,0,40,90,1330,36,532,1197,1611,360
"191","F1",2023-01-27,"Lorient","Rennes",2,1,"H",2,0,"H",4.1,3.6,1.99,"2-0","2-1",4,4,19,6,1,1,0,0,2,10,3,12,"Y","Y","N",2,0,"Lorient-Rennes",116,3,60,20,100,60,240,1200,36,180,720,1392,720
"5","F1",2022-08-07,"Angers","Nantes",0,0,"D",0,0,"D",2.82,3.29,2.75,"0-0","0-0",16,6,14,4,3,3,0,0,3,6,0,9,"N","N","N",6,0,"Angers-Nantes",0,0,0,60,900,0,540,0,0,0,0,0,0
"15","F1",2022-08-14,"Auxerre","Angers",2,2,"D",2,1,"H",2.31,3.18,3.64,"2-1","2-2",11,4,11,2,5,3,1,0,4,5,4,9,"Y","Y","Y",8,1,"Auxerre-Angers",113,4,69,105,2250,420,945,7245,36,276,621,1017,3780
"24","F1",2022-08-21,"Angers","Brest",1,3,"A",0,2,"A",2.39,3.28,3.35,"0-2","1-3",7,5,11,7,2,0,1,0,3,6,4,9,"Y","Y","Y",2,1,"Angers-Brest",183,4,55,45,0,180,405,2475,36,220,495,1647,1620
"37","F1",2022-08-28,"Troyes","Angers",3,1,"H",1,0,"H",2.5,3.42,3.04,"1-0","3-1",25,11,7,3,2,3,0,1,8,3,4,11,"Y","Y","Y",5,1,"Troyes-Angers",222,4,83,75,1100,300,825,6225,44,332,913,2442,3300
"40","F1",2022-08-31,"Angers","Reims",2,4,"A",0,2,"A",2.66,3.3,2.92,"0-2","2-4",10,3,11,5,1,6,0,1,4,3,6,7,"Y","Y","Y",7,1,"Angers-Reims",354,6,0,95,850,570,665,0,42,0,0,2478,3990
"51","F1",2022-09-03,"Lyon","Angers",5,0,"H",2,0,"H",1.32,6.23,9.49,"2-0","5-0",16,9,8,3,2,1,0,0,13,3,5,16,"Y","Y","Y",3,0,"Lyon-Angers",278,5,37,30,200,150,480,1110,80,185,592,4448,2400
"66","F1",2022-09-11,"Angers","Montpellier",2,1,"H",1,1,"D",2.44,3.8,2.86,"1-1","2-1",11,5,7,2,2,4,0,0,2,5,3,7,"Y","Y","N",6,0,"Angers-Montpellier",85,3,37,60,800,180,420,2220,21,111,259,595,1260
"78","F1",2022-09-18,"Nice","Angers",0,1,"A",0,1,"A",1.67,4.09,5.52,"0-1","0-1",18,5,16,3,0,4,1,1,5,4,1,9,"N","N","N",4,2,"Nice-Angers",43,1,6,90,1625,90,810,540,9,6,54,387,810
"81","F1",2022-09-30,"Angers","Marseille",0,3,"A",0,1,"A",4.64,3.97,1.79,"0-1","0-3",16,5,15,7,0,0,0,0,6,3,3,9,"Y","Y","N",0,0,"Angers-Marseille",144,3,26,0,0,0,0,0,27,78,234,1296,0
"95","F1",2022-10-09,"Angers","Strasbourg",2,3,"A",1,2,"A",2.69,3.41,2.8,"1-2","2-3",14,8,15,7,1,1,0,0,6,6,5,12,"Y","Y","Y",2,0,"Angers-Strasbourg",196,5,62,20,100,100,240,1240,60,310,744,2352,1200
"104","F1",2022-10-16,"Toulouse","Angers",3,2,"H",2,1,"H",1.88,4.13,4.03,"2-1","3-2",14,7,13,6,3,2,0,0,2,8,5,10,"Y","Y","Y",5,0,"Toulouse-Angers",240,5,0,50,600,250,500,0,50,0,0,2400,2500
"114","F1",2022-10-23,"Angers","Rennes",1,2,"A",0,1,"A",4.47,4.04,1.81,"0-1","1-2",7,2,14,5,2,2,0,0,5,6,3,11,"Y","Y","N",4,0,"Angers-Rennes",186,3,51,40,400,120,440,2040,33,153,561,2046,1320
"126","F1",2022-10-30,"Monaco","Angers",2,0,"H",0,0,"D",1.39,5.53,7.84,"0-0","2-0",8,5,8,4,3,3,0,0,7,0,2,7,"Y","N","N",6,0,"Monaco-Angers",124,2,53,60,900,120,420,3180,14,106,371,868,840
"133","F1",2022-11-05,"Angers","Lens",1,2,"A",0,1,"A",5.02,4.09,1.72,"0-1","1-2",6,3,12,4,1,2,0,0,3,4,3,7,"Y","Y","N",3,0,"Angers-Lens",159,3,41,30,200,90,210,1230,21,123,287,1113,630
"146","F1",2022-11-13,"Lille","Angers",1,0,"H",1,0,"H",1.32,5.8,10.51,"1-0","1-0",9,4,8,2,3,1,1,0,2,6,1,8,"N","N","N",4,1,"Lille-Angers",36,1,3,65,550,65,520,195,8,3,24,288,520
"151","F1",2022-12-28,"Ajaccio","Angers",1,0,"H",1,0,"H",2.05,3.45,4.08,"1-0","1-0",11,3,14,4,1,0,0,0,3,5,1,8,"N","N","N",1,0,"Ajaccio-Angers",40,1,92,10,0,10,80,920,8,92,736,320,80
"1611","F1",2023-01-01,"Angers","Lorient",1,2,"A",1,0,"H",2.82,3.59,2.57,"1-0","1-2",14,6,10,5,3,0,0,0,7,7,3,14,"Y","Y","N",3,0,"Angers-Lorient",177,3,48,30,0,90,420,1440,42,144,672,2478,1260
"178","F1",2023-01-11,"Paris SG","Angers",2,0,"H",1,0,"H",1.13,10.7,19.37,"1-0","2-0",9,6,6,0,1,2,0,0,5,1,2,6,"Y","N","N",3,0,"Paris SG-Angers",77,2,74,30,200,60,180,2220,12,148,444,462,360
"185","F1",2023-01-15,"Angers","Clermont",1,2,"A",0,1,"A",2.48,3.59,2.94,"0-1","1-2",5,1,10,6,2,2,0,0,3,1,3,4,"Y","Y","N",4,0,"Angers-Clermont",167,3,28,40,400,120,160,1120,12,84,112,668,480
"196","F1",2023-01-29,"Brest","Angers",4,0,"H",2,0,"H",2.16,3.51,3.65,"2-0","4-0",9,7,8,1,0,2,0,0,4,5,4,9,"Y","Y","Y",2,0,"Brest-Angers",191,4,66,20,0,80,180,1320,36,264,594,1719,720
"41","F1",2023-01-29,"Brest","Angers",4,0,"H",2,0,"H",2.16,3.51,3.65,"2-0","4-0",9,7,8,1,0,2,0,0,4,5,4,9,"Y","Y","Y",2,0,"Brest-Angers",149.625,3.125,45.725,44.375,466.875,132.625,393.875,1791.75,30.2,160.8,433.4,1448.275,1237.125
