"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"7","D1",2022-08-06,"Dortmund","Leverkusen",1,0,"H",1,0,"H",2.08,4.22,3.28,"1-0","1-0",13,4,8,3,2,4,0,1,3,3,1,6,"3-3","N","N","N",6,1,"Dortmund-Leverkusen",10,1,11,85,1300,85,510,935,6,11,66,60,510
"13","D1",2022-08-13,"Leverkusen","Augsburg",1,2,"A",1,1,"D",1.34,5.68,9.74,"1-1","1-2",23,10,6,4,1,6,0,0,7,3,3,10,"7-3","Y","Y","N",7,0,"Leverkusen-Augsburg",140,3,72,70,600,210,700,5040,30,216,720,1400,2100
"221","D1",2022-08-20,"Leverkusen","Hoffenheim",0,3,"A",0,2,"A",1.72,4.42,4.6,"0-2","0-3",14,3,10,5,1,4,0,0,3,1,3,4,"3-1","Y","Y","N",5,0,"Leverkusen-Hoffenheim",121,3,74,50,400,150,200,3700,12,222,296,484,600
"31","D1",2022-08-27,"Mainz","Leverkusen",0,3,"A",0,3,"A",2.75,3.82,2.52,"0-3","0-3",17,3,7,5,1,6,0,2,3,4,3,7,"3-4","Y","Y","N",7,2,"Mainz-Leverkusen",109,3,85,120,1100,360,840,10200,21,255,595,763,2520
"39","D1",2022-09-03,"Leverkusen","Freiburg",2,3,"A",1,0,"H",1.92,4.01,3.97,"1-0","2-3",15,6,5,3,2,2,0,0,8,4,5,12,"8-4","Y","Y","Y",4,0,"Leverkusen-Freiburg",252,5,132,40,400,200,480,5280,60,660,1584,3024,2400
"49","D1",2022-09-10,"Hertha","Leverkusen",2,2,"D",0,0,"D",3.76,4.11,1.94,"0-0","2-2",17,6,11,5,3,1,0,0,3,5,4,8,"3-5","Y","Y","Y",4,0,"Hertha-Leverkusen",257,4,55,40,300,160,320,2200,32,220,440,2056,1280
"58","D1",2022-09-17,"Leverkusen","Werder Bremen",1,1,"D",0,0,"D",1.67,4.6,4.83,"0-0","1-1",19,7,19,7,2,3,0,0,9,6,2,15,"9-6","Y","N","N",5,0,"Leverkusen-Werder Bremen",139,2,0,50,600,100,750,0,30,0,0,2085,1500
"64","D1",2022-09-30,"Bayern Munich","Leverkusen",4,0,"H",3,0,"H",1.41,6.02,6.71,"3-0","4-0",20,10,10,5,0,0,0,0,6,2,4,8,"6-2","Y","Y","Y",0,0,"Bayern Munich-Leverkusen",143,4,94,0,0,0,0,0,32,376,752,1144,0
"76","D1",2022-10-08,"Leverkusen","Schalke 04",4,0,"H",2,0,"H",1.47,5.02,6.83,"2-0","4-0",13,7,2,1,1,1,0,0,3,3,4,6,"3-3","Y","Y","Y",2,0,"Leverkusen-Schalke 04",221,4,86,20,100,80,120,1720,24,344,516,1326,480
"83","D1",2022-10-15,"Ein Frankfurt","Leverkusen",5,1,"H",1,0,"H",2.84,3.62,2.54,"1-0","5-1",20,11,5,2,0,4,0,1,7,1,6,8,"7-1","Y","Y","Y",4,1,"Ein Frankfurt-Leverkusen",382,6,92,65,0,390,520,5980,48,552,736,3056,3120
"96","D1",2022-10-22,"Leverkusen","Wolfsburg",2,2,"D",1,1,"D",1.74,4.31,4.6,"1-1","2-2",13,5,9,3,3,1,0,0,3,3,4,6,"3-3","Y","Y","Y",4,0,"Leverkusen-Wolfsburg",175,4,84,40,300,160,240,3360,24,336,504,1050,960
"102","D1",2022-10-29,"RB Leipzig","Leverkusen",2,0,"H",1,0,"H",1.83,4.12,4.27,"1-0","2-0",10,6,4,1,3,3,0,0,3,3,2,6,"3-3","Y","N","N",6,0,"RB Leipzig-Leverkusen",115,2,29,60,900,120,360,1740,12,58,174,690,720
"116","D1",2022-11-06,"Leverkusen","Union Berlin",5,0,"H",0,0,"D",2.2,3.48,3.57,"0-0","5-0",11,8,6,1,1,4,0,0,1,5,5,6,"1-5","Y","Y","Y",5,0,"Leverkusen-Union Berlin",304,5,74,50,400,250,300,3700,30,370,444,1824,1500
"122","D1",2022-11-09,"FC Koln","Leverkusen",1,2,"A",1,0,"H",3.21,3.6,2.31,"1-0","1-2",17,7,10,3,1,2,0,0,6,1,3,7,"6-1","Y","Y","N",3,0,"FC Koln-Leverkusen",166,3,32,30,200,90,210,960,21,96,224,1162,630
"131","D1",2022-11-12,"Leverkusen","Stuttgart",2,0,"H",1,0,"H",1.73,4.21,4.78,"1-0","2-0",11,3,7,1,2,3,0,0,4,2,2,6,"4-2","Y","N","N",5,0,"Leverkusen-Stuttgart",112,2,23,50,600,100,300,1150,12,46,138,672,600
"144","D1",2023-01-22,"Mgladbach","Leverkusen",2,3,"A",0,2,"A",2.76,4.05,2.42,"0-2","2-3",15,8,13,5,3,2,0,0,2,3,5,5,"2-3","Y","Y","Y",5,0,"Mgladbach-Leverkusen",303,5,63,50,600,250,250,3150,25,315,315,1515,1250
"152","D1",2023-01-25,"Leverkusen","Bochum",2,0,"H",1,0,"H",1.45,4.98,7.28,"1-0","2-0",11,4,9,2,2,4,0,0,3,4,2,7,"3-4","Y","N","N",6,0,"Leverkusen-Bochum",61,2,35,60,800,120,420,2100,14,70,245,427,840
"162","D1",2023-01-29,"Leverkusen","Dortmund",0,2,"A",0,1,"A",2.5,3.89,2.74,"0-1","0-2",20,7,6,2,2,4,0,0,8,4,2,12,"8-4","Y","N","N",6,0,"Leverkusen-Dortmund",86,2,39,60,800,120,720,2340,24,78,468,1032,1440
"163","D1",2023-02-03,"Augsburg","Leverkusen",1,0,"H",0,0,"D",4.25,3.97,1.86,"0-0","1-0",10,5,12,4,3,2,0,0,2,1,1,3,"2-1","N","N","N",5,0,"Augsburg-Leverkusen",55,1,11,50,600,50,150,550,3,11,33,165,150
"391","D1",2023-02-03,"Augsburg","Leverkusen",1,0,"H",0,0,"D",4.25,3.97,1.86,"0-0","1-0",10,5,12,4,3,2,0,0,2,1,1,3,"2-1","N","N","N",5,0,"Augsburg-Leverkusen",162.921052631579,3.28947368421053,55.3947368421053,48.9473684210526,497.368421052632,157.105263157895,406.447368421053,2700.78947368421,27.8157894736842,224.842105263158,463.578947368421,1391.47368421053,1325
