"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"23","D1","2022-08-20","Stuttgart","Freiburg",0,1,"A",0,1,"A",2.67,3.66,2.67,"0-1","0-1",18,5,9,3,4,2,0,0,3,1,8,12,1,4,20,"3-1","N","N","N",6,0,"Stuttgart-Freiburg",11,1,32,60,800,60,240,1920,4,32,128,44,240
"281","D1","2022-08-26","Freiburg","Bochum",1,0,"H",0,0,"D",1.53,4.81,6.12,"0-0","1-0",28,12,15,5,2,2,0,0,2,5,15,13,1,7,28,"2-5","N","N","N",4,0,"Freiburg-Bochum",48,1,32,40,400,40,280,1280,7,32,224,336,280
"39","D1","2022-09-03","Leverkusen","Freiburg",2,3,"A",1,0,"H",1.92,4.01,3.97,"1-0","2-3",15,6,5,3,2,2,0,0,8,4,15,10,5,12,25,"8-4","Y","Y","Y",4,0,"Leverkusen-Freiburg",252,5,132,40,400,200,480,5280,60,660,1584,3024,2400
"54","D1","2022-09-11","Freiburg","Mgladbach",0,0,"D",0,0,"D",2.07,3.8,3.62,"0-0","0-0",13,8,14,5,1,1,0,0,7,6,13,6,0,13,19,"7-6","N","N","N",2,0,"Freiburg-Mgladbach",0,0,0,20,100,0,260,0,0,0,0,0,0
"63","D1","2022-09-18","Hoffenheim","Freiburg",0,0,"D",0,0,"D",2.24,3.71,3.27,"0-0","0-0",10,3,14,4,1,2,0,0,5,3,15,9,0,8,24,"5-3","N","N","N",3,0,"Hoffenheim-Freiburg",0,0,0,30,200,0,240,0,0,0,0,0,0
"67","D1","2022-10-01","Freiburg","Mainz",2,1,"H",2,0,"H",2.13,3.66,3.57,"2-0","2-1",13,6,17,7,2,4,0,0,5,5,9,15,3,10,24,"5-5","Y","Y","N",6,0,"Freiburg-Mainz",92,3,52,60,800,180,600,3120,30,156,520,920,1800
"80","D1","2022-10-09","Hertha","Freiburg",2,2,"D",1,1,"D",3.18,3.41,2.41,"1-1","2-2",11,3,10,4,2,1,0,0,4,2,14,13,4,6,27,"4-2","Y","Y","Y",3,0,"Hertha-Freiburg",195,4,53,30,200,120,180,1590,24,212,318,1170,720
"90","D1","2022-10-16","Bayern Munich","Freiburg",5,0,"H",2,0,"H",1.29,6.13,10.79,"2-0","5-0",18,8,6,0,0,2,0,0,5,5,8,9,5,10,17,"5-5","Y","Y","Y",2,0,"Bayern Munich-Freiburg",233,5,65,20,0,100,200,1300,50,325,650,2330,1000
"94","D1","2022-10-22","Freiburg","Werder Bremen",2,0,"H",0,0,"D",1.94,3.86,4,"0-0","2-0",25,7,10,2,2,2,0,1,6,2,14,12,2,8,26,"6-2","Y","N","N",4,1,"Freiburg-Werder Bremen",136,2,0,65,900,130,520,0,16,0,0,1088,1040
"107","D1","2022-10-30","Schalke 04","Freiburg",0,2,"A",0,1,"A",4.13,3.75,1.94,"0-1","0-2",12,3,19,9,3,2,0,0,4,8,20,7,2,12,27,"4-8","Y","N","N",5,0,"Schalke 04-Freiburg",106,2,64,50,600,100,600,3200,24,128,768,1272,1200
"117","D1","2022-11-06","Freiburg","FC Koln",2,0,"H",0,0,"D",1.72,4.06,5.1,"0-0","2-0",13,5,6,2,0,1,0,0,5,3,9,10,2,8,19,"5-3","Y","N","N",1,0,"Freiburg-FC Koln",117,2,67,10,0,20,80,670,16,134,536,936,160
"124","D1","2022-11-09","RB Leipzig","Freiburg",3,1,"H",0,0,"D",1.8,4.2,4.36,"0-0","3-1",18,8,4,2,1,4,0,0,6,2,9,21,4,8,30,"6-2","Y","Y","Y",5,0,"RB Leipzig-Freiburg",254,4,0,50,400,200,400,0,32,0,0,2032,1600
"135","D1","2022-11-13","Freiburg","Union Berlin",4,1,"H",4,0,"H",2.06,3.32,4.25,"4-0","4-1",7,5,4,2,0,1,0,1,2,1,13,9,5,3,22,"2-1","Y","Y","Y",1,1,"Freiburg-Union Berlin",159,5,145,35,0,175,105,5075,15,725,435,477,525
"141","D1","2023-01-21","Wolfsburg","Freiburg",6,0,"H",3,0,"H",2.58,3.49,2.87,"3-0","6-0",13,11,9,1,1,2,0,0,0,5,11,12,6,5,23,"0-5","Y","Y","Y",3,0,"Wolfsburg-Freiburg",292,6,143,30,200,180,150,4290,30,858,715,1460,900
"151","D1","2023-01-25","Freiburg","Ein Frankfurt",1,1,"D",0,1,"A",2.58,3.57,2.82,"0-1","1-1",12,5,4,2,3,3,0,0,4,3,15,15,2,7,30,"4-3","Y","N","N",6,0,"Freiburg-Ein Frankfurt",89,2,37,60,900,120,420,2220,14,74,259,623,840
"155","D1","2023-01-28","Freiburg","Augsburg",3,1,"H",2,1,"H",1.52,4.65,6.55,"2-1","3-1",15,9,16,4,3,3,0,0,3,7,14,9,4,10,23,"3-7","Y","Y","Y",6,0,"Freiburg-Augsburg",157,4,61,60,900,240,600,3660,40,244,610,1570,2400
"165","D1","2023-02-04","Dortmund","Freiburg",5,1,"H",1,1,"D",1.71,4.18,4.99,"1-1","5-1",24,8,6,3,3,4,0,1,14,0,13,14,6,14,27,"14-0","Y","Y","Y",7,1,"Dortmund-Freiburg",320,6,75,95,1950,570,1330,7125,84,450,1050,4480,7980
"174","D1","2023-02-11","Freiburg","Stuttgart",2,1,"H",0,1,"A",1.88,3.74,4.45,"0-1","2-1",9,5,14,3,3,3,0,0,4,3,13,10,3,7,23,"4-3","Y","Y","N",6,0,"Freiburg-Stuttgart",174,3,86,60,900,180,420,5160,21,258,602,1218,1260
"1821","D1","2023-02-18","Bochum","Freiburg",0,2,"A",0,1,"A",3.15,3.56,2.36,"0-1","0-2",15,6,15,5,4,2,1,0,5,5,15,10,2,10,25,"5-5","Y","N","N",6,1,"Bochum-Freiburg",90,2,47,85,1300,170,850,3995,20,94,470,900,1700
"197","D1","2023-02-26","Freiburg","Leverkusen",1,1,"D",1,0,"H",2.24,3.66,3.3,"1-0","1-1",9,4,16,4,2,1,0,0,1,3,14,13,2,4,27,"1-3","Y","N","N",3,0,"Freiburg-Leverkusen",96,2,41,30,200,60,120,1230,8,82,164,384,240
"203","D1","2023-03-04","Mgladbach","Freiburg",0,0,"D",0,0,"D",2.52,3.57,2.86,"0-0","0-0",10,4,8,3,5,2,1,0,6,5,11,15,0,11,26,"6-5","N","N","N",7,1,"Mgladbach-Freiburg",0,0,0,95,1500,0,1045,0,0,0,0,0,0
"47","D1","2023-03-04","Mgladbach","Freiburg",0,0,"D",0,0,"D",2.52,3.57,2.86,"0-0","0-0",10,4,8,3,5,2,1,0,6,5,11,15,0,11,26,"6-5","N","N","N",7,1,"Mgladbach-Freiburg",157.086956521739,3.19565217391304,56.7173913043478,39.7826086956522,431.521739130435,118.369565217391,351.739130434783,2083.91304347826,27.9782608695652,229.152173913043,496.195652173913,1420.23913043478,1082.71739130435
