"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"96","D1","2022-10-22","Leverkusen","Wolfsburg",2,2,"D",1,1,"D",1.74,4.31,4.6,"1-1","2-2",13,5,9,3,3,1,0,0,3,3,19,5,4,6,24,"3-3","Y","Y","Y",4,0,"Leverkusen-Wolfsburg",175,4,84,40,300,160,240,3360,24,336,504,1050,960
"104","D1","2022-10-29","Wolfsburg","Bochum",4,0,"H",2,0,"H",1.72,4.24,4.85,"2-0","4-0",22,7,10,3,1,1,0,0,7,2,7,17,4,9,24,"7-2","Y","Y","Y",2,0,"Wolfsburg-Bochum",200,4,87,20,100,80,180,1740,36,348,783,1800,720
"114","D1","2022-11-05","Mainz","Wolfsburg",0,3,"A",0,1,"A",2.07,3.68,3.72,"0-1","0-3",16,3,10,3,1,1,0,0,9,4,15,6,3,13,21,"9-4","Y","Y","N",2,0,"Mainz-Wolfsburg",187,3,86,20,100,60,260,1720,39,258,1118,2431,780
"118","D1","2022-11-08","Wolfsburg","Dortmund",2,0,"H",1,0,"H",3.17,3.64,2.32,"1-0","2-0",15,8,20,6,4,2,0,0,6,9,10,12,2,15,22,"6-9","Y","N","N",6,0,"Wolfsburg-Dortmund",96,2,15,60,800,120,900,900,30,30,225,1440,1800
"130","D1","2022-11-12","Hoffenheim","Wolfsburg",1,2,"A",1,1,"D",2.28,3.77,3.14,"1-1","1-2",22,8,6,3,0,3,0,0,7,1,15,11,3,8,26,"7-1","Y","Y","N",3,0,"Hoffenheim-Wolfsburg",143,3,39,30,0,90,240,1170,24,117,312,1144,720
"141","D1","2023-01-21","Wolfsburg","Freiburg",6,0,"H",3,0,"H",2.58,3.49,2.87,"3-0","6-0",13,11,9,1,1,2,0,0,0,5,11,12,6,5,23,"0-5","Y","Y","Y",3,0,"Wolfsburg-Freiburg",292,6,143,30,200,180,150,4290,30,858,715,1460,900
"147","D1","2023-01-24","Hertha","Wolfsburg",0,5,"A",0,3,"A",3.12,3.53,2.39,"0-3","0-5",8,2,15,7,2,0,0,0,6,4,20,13,5,10,33,"6-4","Y","Y","Y",2,0,"Hertha-Wolfsburg",227,5,135,20,0,100,200,2700,50,675,1350,2270,1000
"159","D1","2023-01-28","Werder Bremen","Wolfsburg",2,1,"H",1,0,"H",3.41,3.75,2.16,"1-0","2-1",14,5,7,3,3,3,0,0,2,6,16,12,3,8,28,"2-6","Y","Y","N",6,0,"Werder Bremen-Wolfsburg",191,3,0,60,900,180,480,0,24,0,0,1528,1440
"171","D1","2023-02-05","Wolfsburg","Bayern Munich",2,4,"A",1,3,"A",5.28,4.64,1.61,"1-3","2-4",19,5,9,4,2,6,0,1,7,4,10,9,6,11,19,"7-4","Y","Y","Y",8,1,"Wolfsburg-Bayern Munich",239,6,137,105,1700,630,1155,14385,66,822,1507,2629,6930
"172","D1","2023-02-10","Schalke 04","Wolfsburg",0,0,"D",0,0,"D",3.92,3.78,1.99,"0-0","0-0",17,5,8,2,1,4,0,0,9,3,10,20,0,12,30,"9-3","N","N","N",5,0,"Schalke 04-Wolfsburg",0,0,0,50,400,0,600,0,0,0,0,0,0
"185","D1","2023-02-18","Wolfsburg","RB Leipzig",0,3,"A",0,1,"A",3.34,3.68,2.22,"0-1","0-3",7,2,17,5,1,1,0,0,2,5,16,15,3,7,31,"2-5","Y","Y","N",2,0,"Wolfsburg-RB Leipzig",189,3,54,20,100,60,140,1080,21,162,378,1323,420
"2","D1","2022-08-06","Augsburg","Freiburg",0,4,"A",0,0,"D",3.53,3.59,2.17,"0-0","0-4",10,2,19,7,0,0,0,0,5,8,13,13,4,13,26,"5-8","Y","Y","Y",0,0,"Augsburg-Freiburg",233,4,140,0,0,0,0,0,52,560,1820,3029,0
"10","D1","2022-08-12","Freiburg","Dortmund",1,3,"A",1,0,"H",3.15,3.83,2.26,"1-0","1-3",16,7,16,7,1,3,0,0,9,2,16,10,4,11,26,"9-2","Y","Y","Y",4,0,"Freiburg-Dortmund",284,4,116,40,300,160,440,4640,44,464,1276,3124,1760
"23","D1","2022-08-20","Stuttgart","Freiburg",0,1,"A",0,1,"A",2.67,3.66,2.67,"0-1","0-1",18,5,9,3,4,2,0,0,3,1,8,12,1,4,20,"3-1","N","N","N",6,0,"Stuttgart-Freiburg",11,1,32,60,800,60,240,1920,4,32,128,44,240
"28","D1","2022-08-26","Freiburg","Bochum",1,0,"H",0,0,"D",1.53,4.81,6.12,"0-0","1-0",28,12,15,5,2,2,0,0,2,5,15,13,1,7,28,"2-5","N","N","N",4,0,"Freiburg-Bochum",48,1,32,40,400,40,280,1280,7,32,224,336,280
"39","D1","2022-09-03","Leverkusen","Freiburg",2,3,"A",1,0,"H",1.92,4.01,3.97,"1-0","2-3",15,6,5,3,2,2,0,0,8,4,15,10,5,12,25,"8-4","Y","Y","Y",4,0,"Leverkusen-Freiburg",252,5,132,40,400,200,480,5280,60,660,1584,3024,2400
"54","D1","2022-09-11","Freiburg","Mgladbach",0,0,"D",0,0,"D",2.07,3.8,3.62,"0-0","0-0",13,8,14,5,1,1,0,0,7,6,13,6,0,13,19,"7-6","N","N","N",2,0,"Freiburg-Mgladbach",0,0,0,20,100,0,260,0,0,0,0,0,0
"63","D1","2022-09-18","Hoffenheim","Freiburg",0,0,"D",0,0,"D",2.24,3.71,3.27,"0-0","0-0",10,3,14,4,1,2,0,0,5,3,15,9,0,8,24,"5-3","N","N","N",3,0,"Hoffenheim-Freiburg",0,0,0,30,200,0,240,0,0,0,0,0,0
"67","D1","2022-10-01","Freiburg","Mainz",2,1,"H",2,0,"H",2.13,3.66,3.57,"2-0","2-1",13,6,17,7,2,4,0,0,5,5,9,15,3,10,24,"5-5","Y","Y","N",6,0,"Freiburg-Mainz",92,3,52,60,800,180,600,3120,30,156,520,920,1800
"80","D1","2022-10-09","Hertha","Freiburg",2,2,"D",1,1,"D",3.18,3.41,2.41,"1-1","2-2",11,3,10,4,2,1,0,0,4,2,14,13,4,6,27,"4-2","Y","Y","Y",3,0,"Hertha-Freiburg",195,4,53,30,200,120,180,1590,24,212,318,1170,720
"90","D1","2022-10-16","Bayern Munich","Freiburg",5,0,"H",2,0,"H",1.29,6.13,10.79,"2-0","5-0",18,8,6,0,0,2,0,0,5,5,8,9,5,10,17,"5-5","Y","Y","Y",2,0,"Bayern Munich-Freiburg",233,5,65,20,0,100,200,1300,50,325,650,2330,1000
"94","D1","2022-10-22","Freiburg","Werder Bremen",2,0,"H",0,0,"D",1.94,3.86,4,"0-0","2-0",25,7,10,2,2,2,0,1,6,2,14,12,2,8,26,"6-2","Y","N","N",4,1,"Freiburg-Werder Bremen",136,2,0,65,900,130,520,0,16,0,0,1088,1040
"107","D1","2022-10-30","Schalke 04","Freiburg",0,2,"A",0,1,"A",4.13,3.75,1.94,"0-1","0-2",12,3,19,9,3,2,0,0,4,8,20,7,2,12,27,"4-8","Y","N","N",5,0,"Schalke 04-Freiburg",106,2,64,50,600,100,600,3200,24,128,768,1272,1200
"117","D1","2022-11-06","Freiburg","FC Koln",2,0,"H",0,0,"D",1.72,4.06,5.1,"0-0","2-0",13,5,6,2,0,1,0,0,5,3,9,10,2,8,19,"5-3","Y","N","N",1,0,"Freiburg-FC Koln",117,2,67,10,0,20,80,670,16,134,536,936,160
"124","D1","2022-11-09","RB Leipzig","Freiburg",3,1,"H",0,0,"D",1.8,4.2,4.36,"0-0","3-1",18,8,4,2,1,4,0,0,6,2,9,21,4,8,30,"6-2","Y","Y","Y",5,0,"RB Leipzig-Freiburg",254,4,47,50,400,200,400,2350,32,188,376,2032,1600
"135","D1","2022-11-13","Freiburg","Union Berlin",4,1,"H",4,0,"H",2.06,3.32,4.25,"4-0","4-1",7,5,4,2,0,1,0,1,2,1,13,9,5,3,22,"2-1","Y","Y","Y",1,1,"Freiburg-Union Berlin",159,5,145,35,0,175,105,5075,15,725,435,477,525
"1411","D1","2023-01-21","Wolfsburg","Freiburg",6,0,"H",3,0,"H",2.58,3.49,2.87,"3-0","6-0",13,11,9,1,1,2,0,0,0,5,11,12,6,5,23,"0-5","Y","Y","Y",3,0,"Wolfsburg-Freiburg",292,6,143,30,200,180,150,4290,30,858,715,1460,900
"151","D1","2023-01-25","Freiburg","Ein Frankfurt",1,1,"D",0,1,"A",2.58,3.57,2.82,"0-1","1-1",12,5,4,2,3,3,0,0,4,3,15,15,2,7,30,"4-3","Y","N","N",6,0,"Freiburg-Ein Frankfurt",89,2,37,60,900,120,420,2220,14,74,259,623,840
"155","D1","2023-01-28","Freiburg","Augsburg",3,1,"H",2,1,"H",1.52,4.65,6.55,"2-1","3-1",15,9,16,4,3,3,0,0,3,7,14,9,4,10,23,"3-7","Y","Y","Y",6,0,"Freiburg-Augsburg",157,4,61,60,900,240,600,3660,40,244,610,1570,2400
"165","D1","2023-02-04","Dortmund","Freiburg",5,1,"H",1,1,"D",1.71,4.18,4.99,"1-1","5-1",24,8,6,3,3,4,0,1,14,0,13,14,6,14,27,"14-0","Y","Y","Y",7,1,"Dortmund-Freiburg",320,6,75,95,1950,570,1330,7125,84,450,1050,4480,7980
"174","D1","2023-02-11","Freiburg","Stuttgart",2,1,"H",0,1,"A",1.88,3.74,4.45,"0-1","2-1",9,5,14,3,3,3,0,0,4,3,13,10,3,7,23,"4-3","Y","Y","N",6,0,"Freiburg-Stuttgart",174,3,86,60,900,180,420,5160,21,258,602,1218,1260
"182","D1","2023-02-18","Bochum","Freiburg",0,2,"A",0,1,"A",3.15,3.56,2.36,"0-1","0-2",15,6,15,5,4,2,1,0,5,5,15,10,2,10,25,"5-5","Y","N","N",6,1,"Bochum-Freiburg",90,2,47,85,1300,170,850,3995,20,94,470,900,1700
"43","D1","2023-02-18","Bochum","Freiburg",0,2,"A",0,1,"A",3.15,3.56,2.36,"0-1","0-2",15,6,15,5,4,2,1,0,5,5,15,10,2,10,25,"5-5","Y","N","N",6,1,"Bochum-Freiburg",152.714285714286,3.14285714285714,62.9047619047619,44.6428571428571,536.904761904762,142.5,457.380952380952,2636.19047619048,29.3095238095238,259.119047619048,582.785714285714,1438.33333333333,1432.2619047619
