"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"104","I1",2022-10-22,"Fiorentina","Inter",3,4,"A",1,2,"A",3.83,3.58,2.08,"1-2","3-4",10,4,8,7,4,3,0,0,1,2,7,3,"Y","Y","Y",7,0,"Fiorentina-Inter",363,7,92,70,1200,490,210,6440,21,644,276,1089,1470
"116","I1",2022-10-30,"Spezia","Fiorentina",1,2,"A",1,1,"D",4.39,3.64,1.92,"1-1","1-2",10,6,27,5,5,3,1,0,5,5,3,10,"Y","Y","N",8,1,"Spezia-Fiorentina",139,3,31,105,2250,315,1050,3255,30,93,310,1390,3150
"128","I1",2022-11-06,"Sampdoria","Fiorentina",0,2,"A",0,1,"A",4.29,3.54,1.97,"0-1","0-2",14,2,5,4,1,0,0,0,4,4,2,8,"Y","N","N",1,0,"Sampdoria-Fiorentina",62,2,9,10,0,20,80,90,16,18,72,496,160
"136","I1",2022-11-09,"Fiorentina","Salernitana",2,1,"H",1,0,"H",1.56,4.45,6.17,"1-0","2-1",18,7,4,1,0,1,0,0,4,3,3,7,"Y","Y","N",1,0,"Fiorentina-Salernitana",151,3,41,10,0,30,70,410,21,123,287,1057,210
"149","I1",2022-11-13,"Milan","Fiorentina",2,1,"H",1,1,"D",1.73,3.94,5.18,"1-1","2-1",12,3,11,5,1,4,0,0,5,7,3,12,"Y","Y","N",5,0,"Milan-Fiorentina",120,3,93,50,400,150,600,4650,36,279,1116,1440,1800
"158","I1",2023-01-04,"Fiorentina","Monza",1,1,"D",1,0,"H",1.74,4.02,5.04,"1-0","1-1",22,6,10,3,1,3,0,0,9,1,2,10,"Y","N","N",4,0,"Fiorentina-Monza",80,2,39,40,300,80,400,1560,20,78,390,800,800
"161","I1",2023-01-07,"Fiorentina","Sassuolo",2,1,"H",0,0,"D",1.75,4.03,4.88,"0-0","2-1",14,5,17,4,4,3,0,0,6,3,3,9,"Y","Y","N",7,0,"Fiorentina-Sassuolo",195,3,40,70,1200,210,630,2800,27,120,360,1755,1890
"179","I1",2023-01-15,"Roma","Fiorentina",2,0,"H",1,0,"H",2.02,3.62,3.98,"1-0","2-0",10,4,7,3,3,4,0,1,5,9,2,14,"Y","N","N",7,1,"Roma-Fiorentina",122,2,42,95,1950,190,1330,3990,28,84,588,1708,2660
"183","I1",2023-01-21,"Fiorentina","Torino",0,1,"A",0,1,"A",2.16,3.4,3.77,"0-1","0-1",19,5,9,3,2,2,0,0,5,3,1,8,"N","N","N",4,0,"Fiorentina-Torino",33,1,59,40,400,40,320,2360,8,59,472,264,320
"198","I1",2023-01-29,"Lazio","Fiorentina",1,1,"D",1,0,"H",2.13,3.37,3.9,"1-0","1-1",13,1,17,6,2,3,0,0,3,4,2,7,"Y","N","N",5,0,"Lazio-Fiorentina",57,2,37,50,600,100,350,1850,14,74,259,399,700
"6","I1",2022-08-14,"Lazio","Bologna",2,1,"H",0,1,"A",1.62,4.29,5.7,"0-1","2-1",9,6,11,3,2,6,1,1,3,2,3,5,"Y","Y","N",8,2,"Lazio-Bologna",185,3,55,130,3825,390,650,7150,15,165,275,925,1950
"18","I1",2022-08-21,"Bologna","Verona",1,1,"D",1,1,"D",2.25,3.48,3.44,"1-1","1-1",17,5,19,3,3,3,1,0,9,8,2,17,"Y","N","N",6,1,"Bologna-Verona",64,2,18,85,1650,170,1445,1530,34,36,306,1088,2890
"25","I1",2022-08-27,"Milan","Bologna",2,0,"H",1,0,"H",1.37,5.59,8.58,"1-0","2-0",19,7,8,0,2,1,0,0,5,1,2,6,"Y","N","N",3,0,"Milan-Bologna",79,2,26,30,200,60,180,780,12,52,156,474,360
"40","I1",2022-09-01,"Bologna","Salernitana",1,1,"D",0,0,"D",1.91,3.6,4.49,"0-0","1-1",11,4,20,4,2,2,0,0,1,8,2,9,"Y","N","N",4,0,"Bologna-Salernitana",140,2,38,40,400,80,360,1520,18,76,342,1260,720
"45","I1",2022-09-04,"Spezia","Bologna",2,2,"D",1,1,"D",3.18,3.24,2.5,"1-1","2-2",15,5,13,6,4,1,0,0,7,2,4,9,"Y","Y","Y",5,0,"Spezia-Bologna",169,4,68,50,400,200,450,3400,36,272,612,1521,1800
"551","I1",2022-09-11,"Bologna","Fiorentina",2,1,"H",0,0,"D",3.07,3.37,2.5,"0-0","2-1",12,4,13,2,1,4,0,1,6,8,3,14,"Y","Y","N",5,1,"Bologna-Fiorentina",175,3,136,75,650,225,1050,10200,42,408,1904,2450,3150
"62","I1",2022-09-17,"Bologna","Empoli",0,1,"A",0,0,"D",2.17,3.57,3.54,"0-0","0-1",16,3,12,5,2,3,0,0,5,8,1,13,"N","N","N",5,0,"Bologna-Empoli",75,1,25,50,600,50,650,1250,13,25,325,975,650
"79","I1",2022-10-02,"Juventus","Bologna",3,0,"H",1,0,"H",1.53,4.43,6.79,"1-0","3-0",17,6,9,1,0,1,0,0,2,4,3,6,"Y","Y","N",1,0,"Juventus-Bologna",145,3,40,10,0,30,60,400,18,120,240,870,180
"83","I1",2022-10-08,"Bologna","Sampdoria",1,1,"D",1,0,"H",2.11,3.49,3.8,"1-0","1-1",10,3,9,3,2,3,0,0,2,5,2,7,"Y","N","N",5,0,"Bologna-Sampdoria",104,2,15,50,600,100,350,750,14,30,105,728,700
"97","I1",2022-10-16,"Napoli","Bologna",3,2,"H",1,1,"D",1.26,6.19,13.19,"1-1","3-2",30,11,16,3,0,4,0,0,6,4,5,10,"Y","Y","Y",4,0,"Napoli-Bologna",255,5,0,40,0,200,400,0,50,0,0,2550,2000
"106","I1",2022-10-23,"Bologna","Lecce",2,0,"H",2,0,"H",2.21,3.26,3.78,"2-0","2-0",12,3,9,3,5,2,0,0,9,4,2,13,"Y","N","N",7,0,"Bologna-Lecce",47,2,28,70,1000,140,910,1960,26,56,364,611,1820
"120","I1",2022-10-31,"Monza","Bologna",1,2,"A",0,0,"D",2.27,3.35,3.54,"0-0","1-2",9,3,10,5,4,2,0,0,4,5,3,9,"Y","Y","N",6,0,"Monza-Bologna",190,3,63,60,800,180,540,3780,27,189,567,1710,1620
"126","I1",2022-11-06,"Bologna","Torino",2,1,"H",0,1,"A",3.18,3.14,2.57,"0-1","2-1",9,5,7,2,3,3,0,0,3,1,3,4,"Y","Y","N",6,0,"Bologna-Torino",163,3,20,60,900,180,240,1200,12,60,80,652,720
"137","I1",2022-11-09,"Inter","Bologna",6,1,"H",3,1,"H",1.32,5.77,10.64,"3-1","6-1",13,7,10,4,1,5,0,0,4,4,7,8,"Y","Y","Y",6,0,"Inter-Bologna",309,7,133,60,500,420,480,7980,56,931,1064,2472,3360
"144","I1",2022-11-12,"Bologna","Sassuolo",3,0,"H",1,0,"H",2.38,3.56,3.13,"1-0","3-0",8,4,9,3,1,0,0,0,4,6,3,10,"Y","Y","N",1,0,"Bologna-Sassuolo",158,3,48,10,0,30,100,480,30,144,480,1580,300
"156","I1",2023-01-04,"Roma","Bologna",1,0,"H",1,0,"H",1.65,3.96,5.96,"1-0","1-0",14,4,10,2,2,3,0,0,3,3,1,6,"N","N","N",5,0,"Roma-Bologna",6,1,7,50,600,50,300,350,6,7,42,36,300
"170","I1",2023-01-09,"Bologna","Atalanta",1,2,"A",1,0,"H",3.48,3.51,2.22,"1-0","1-2",12,3,7,3,3,2,0,0,4,0,3,4,"Y","Y","N",5,0,"Bologna-Atalanta",111,3,31,50,600,150,200,1550,12,93,124,444,600
"177","I1",2023-01-15,"Udinese","Bologna",1,2,"A",1,0,"H",1.98,3.48,4.34,"1-0","1-2",20,4,15,2,1,3,0,0,6,4,3,10,"Y","Y","N",4,0,"Udinese-Bologna",149,3,22,40,300,120,400,880,30,66,220,1490,1200
"188","I1",2023-01-23,"Bologna","Cremonese",1,1,"D",0,0,"D",1.95,3.37,4.68,"0-0","1-1",21,8,9,2,2,5,0,0,4,1,2,5,"Y","N","N",7,0,"Bologna-Cremonese",104,2,98,70,1000,140,350,6860,10,196,490,520,700
"191","I1",2023-01-27,"Bologna","Spezia",2,0,"H",1,0,"H",1.9,3.47,4.8,"1-0","2-0",18,6,6,4,2,2,0,0,5,5,2,10,"Y","N","N",4,0,"Bologna-Spezia",114,2,10,40,400,80,400,400,20,20,100,1140,800
"411","I1",2023-01-27,"Bologna","Spezia",2,0,"H",1,0,"H",1.9,3.47,4.8,"1-0","2-0",18,6,6,4,2,2,0,0,5,5,2,10,"Y","N","N",4,0,"Bologna-Spezia",124.6,2.6,50.9,55.5,791.875,147,523.75,3257.625,23.575,162.7,503.35,1124.5,1351.375
