"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"106","E0","2022-10-20","Leicester","Leeds",2,0,"H",2,0,"H",2.36,3.65,3.08,"2-0","2-0",5,1,14,2,2,1,0,0,2,9,15,11,2,11,26,"2-9","Y","N","N",3,0,"Leicester-Leeds",51,2,12,30,200,60,330,360,22,24,132,561,660
"114","E0","2022-10-23","Wolves","Leicester",0,4,"A",0,2,"A",2.3,3.35,3.46,"0-2","0-4",21,5,5,4,2,1,0,0,9,2,10,13,4,11,23,"9-2","Y","Y","Y",3,0,"Wolves-Leicester",171,4,0,30,200,120,330,0,44,0,0,1881,1320
"117","E0","2022-10-29","Leicester","Man City",0,1,"A",0,0,"D",9.62,5.93,1.32,"0-0","0-1",10,5,15,5,0,0,0,0,3,10,5,10,1,13,15,"3-10","N","N","N",0,0,"Leicester-Man City",49,1,17,0,0,0,0,0,13,17,221,637,0
"131","E0","2022-11-05","Everton","Leicester",0,2,"A",0,1,"A",2.48,3.36,3.12,"0-1","0-2",12,2,22,8,0,0,0,0,8,3,9,5,2,11,14,"8-3","Y","N","N",0,0,"Everton-Leicester",131,2,15,0,0,0,0,0,22,30,165,1441,0
"142","E0","2022-11-12","West Ham","Leicester",0,2,"A",0,1,"A",2.14,3.56,3.64,"0-1","0-2",18,6,9,6,3,1,0,0,7,2,9,8,2,9,17,"7-2","Y","N","N",4,0,"West Ham-Leicester",86,2,17,40,300,80,360,680,18,34,153,774,720
"150","E0","2022-12-26","Leicester","Newcastle",0,3,"A",0,3,"A",3.36,3.64,2.22,"0-3","0-3",8,2,12,5,0,0,0,0,5,5,9,6,3,10,15,"5-5","Y","Y","N",0,0,"Leicester-Newcastle",42,3,51,0,0,0,0,0,30,153,510,420,0
"158","E0","2022-12-30","Liverpool","Leicester",2,1,"H",2,1,"H",1.31,6.08,9.55,"2-1","2-1",21,5,7,2,0,1,0,0,4,5,8,15,3,9,23,"4-5","Y","Y","N",1,0,"Liverpool-Leicester",87,3,28,10,0,30,90,280,27,84,252,783,270
"170","E0","2023-01-03","Leicester","Fulham",0,1,"A",0,1,"A",2.26,3.73,3.2,"0-1","0-1",15,6,11,2,2,6,0,0,6,3,12,11,1,9,23,"6-3","N","N","N",8,0,"Leicester-Fulham",17,1,9,80,1200,80,720,720,9,9,81,153,720
"182","E0","2023-01-14","Nottm Forest","Leicester",2,0,"H",0,0,"D",2.74,3.46,2.72,"0-0","2-0",15,5,6,1,1,2,0,0,3,5,11,12,2,8,23,"3-5","Y","N","N",3,0,"Nottm Forest-Leicester",141,2,40,30,200,60,240,1200,16,80,320,1128,480
"192","E0","2023-01-21","Leicester","Brighton",2,2,"D",1,1,"D",3.61,3.71,2.1,"1-1","2-2",9,2,13,4,0,1,0,0,5,6,9,9,4,11,18,"5-6","Y","Y","Y",1,0,"Leicester-Brighton",216,4,68,10,0,40,110,680,44,272,748,2376,440
"202","E0","2023-02-04","Aston Villa","Leicester",2,4,"A",2,3,"A",2.02,3.63,3.95,"2-3","2-4",19,4,9,5,0,2,0,0,11,3,10,10,6,14,20,"11-3","Y","Y","Y",2,0,"Aston Villa-Leicester",218,6,0,20,0,120,280,0,84,0,0,3052,1680
"215","E0","2023-02-11","Leicester","Tottenham",4,1,"H",3,1,"H",3.46,3.7,2.16,"3-1","4-1",15,7,11,4,5,2,0,0,1,5,14,9,5,6,23,"1-5","Y","Y","Y",7,0,"Leicester-Tottenham",188,5,0,70,1000,350,420,0,30,0,0,1128,2100
"230","E0","2023-02-19","Man United","Leicester",3,0,"H",1,0,"H",1.65,4.34,5.37,"1-0","3-0",26,8,19,3,0,2,0,0,6,6,9,9,3,12,18,"6-6","Y","Y","N",2,0,"Man United-Leicester",142,3,45,20,0,60,240,900,36,135,540,1704,720
"235","E0","2023-02-25","Leicester","Arsenal",0,1,"A",0,0,"D",4.93,4.15,1.72,"0-0","0-1",1,0,10,2,0,1,0,0,0,8,14,9,1,8,23,"0-8","N","N","N",1,0,"Leicester-Arsenal",46,1,11,10,0,10,80,110,8,11,88,368,80
"248","E0","2023-03-04","Southampton","Leicester",1,0,"H",1,0,"H",2.85,3.3,2.67,"1-0","1-0",11,5,11,0,4,2,0,0,3,4,12,11,1,7,23,"3-4","N","N","N",6,0,"Southampton-Leicester",35,1,26,60,800,60,420,1560,7,26,182,245,420
"255","E0","2023-03-11","Leicester","Chelsea",1,3,"A",1,2,"A",3.9,3.61,2.02,"1-2","1-3",17,7,12,6,1,2,1,0,2,5,10,11,4,7,21,"2-5","Y","Y","Y",3,1,"Leicester-Chelsea",173,4,78,55,700,220,385,4290,28,312,546,1211,1540
"266","E0","2023-03-18","Brentford","Leicester",1,1,"D",1,0,"H",1.95,3.79,3.94,"1-0","1-1",11,2,14,1,1,2,1,0,8,4,10,11,2,12,21,"8-4","Y","N","N",3,1,"Brentford-Leicester",84,2,15,55,700,110,660,825,24,30,180,1008,1320
"2751","E0","2023-04-01","Crystal Palace","Leicester",2,1,"H",0,0,"D",2.56,3.28,3.02,"0-0","2-1",31,9,3,2,3,4,0,0,10,1,12,16,3,11,28,"10-1","Y","Y","N",7,0,"Crystal Palace-Leicester",205,3,66,70,1200,210,770,4620,33,198,726,2255,2310
"58","E0","2023-04-01","Crystal Palace","Leicester",2,1,"H",0,0,"D",2.56,3.28,3.02,"0-0","2-1",31,9,3,2,3,4,0,0,10,1,12,16,3,11,28,"10-1","Y","Y","N",7,0,"Crystal Palace-Leicester",127.350877192982,2.64912280701754,29.1754385964912,40,442.105263157895,95.3508771929825,372.719298245614,1078.33333333333,24.3859649122807,99.2982456140351,272.070175438596,1179.54385964912,850.877192982456
